27, 8pa1-debug-a-our-output_new.txt
  458.08,   442.09,   460.43
  460.54,   572.15,   213.03
  460.44,   569.60,   338.01
  460.33,   567.04,   462.98
  462.80,   697.10,   215.59
  462.69,   694.55,   340.56
  462.59,   692.00,   465.54
  208.88,   449.61,   450.72
  206.10,   451.10,   575.68
  203.32,   452.60,   700.64
  208.59,   574.60,   449.22
  205.81,   576.09,   574.18
  203.03,   577.59,   699.14
  208.29,   699.59,   447.72
  205.51,   701.08,   572.68
  202.74,   702.58,   697.64
  333.85,   449.94,   453.49
  331.07,   451.43,   578.46
  328.29,   452.92,   703.42
  333.55,   574.93,   452.00
  330.78,   576.42,   576.96
  328.00,   577.91,   701.92
  333.26,   699.92,   450.50
  330.48,   701.41,   575.46
  327.70,   702.90,   700.42
  458.82,   450.26,   456.27
  456.04,   451.76,   581.23
  453.26,   453.25,   706.19
  458.52,   575.25,   454.77
  455.75,   576.75,   579.73
  452.97,   578.24,   704.69
  458.23,   700.25,   453.27
  455.45,   701.74,   578.23
  452.67,   703.23,   703.19
  450.63,   210.38,   209.71
  448.38,   211.16,   334.69
  446.12,   211.95,   459.66
  446.98,   335.32,   208.86
  444.72,   336.11,   333.84
  442.47,   336.89,   458.82
  443.32,   460.27,   208.01
  441.07,   461.05,   332.99
  438.81,   461.83,   457.97
  575.56,   214.05,   211.94
  573.30,   214.83,   336.92
  571.05,   215.62,   461.90
  571.90,   338.99,   211.09
  569.65,   339.78,   336.07
  567.39,   340.56,   461.05
  568.25,   463.94,   210.24
  565.99,   464.72,   335.22
  563.74,   465.50,   460.20
  700.48,   217.72,   214.17
  698.23,   218.50,   339.15
  695.97,   219.28,   464.13
  696.83,   342.66,   213.32
  694.57,   343.45,   338.30
  692.32,   344.23,   463.28
  693.17,   467.61,   212.47
  690.92,   468.39,   337.45
  688.66,   469.17,   462.43
  448.58,   211.51,   449.29
  447.04,   213.08,   574.27
  445.50,   214.65,   699.25
  446.13,   336.48,   447.69
  444.59,   338.05,   572.67
  443.05,   339.62,   697.65
  443.69,   461.44,   446.09
  442.15,   463.01,   571.07
  440.61,   464.58,   696.05
  573.55,   213.97,   450.80
  572.01,   215.54,   575.78
  570.47,   217.11,   700.76
  571.10,   338.94,   449.20
  569.56,   340.51,   574.18
  568.02,   342.08,   699.16
  568.66,   463.91,   447.60
  567.12,   465.48,   572.58
  565.57,   467.05,   697.56
  698.51,   216.44,   452.31
  696.97,   218.01,   577.29
  695.43,   219.58,   702.27
  696.07,   341.41,   450.71
  694.53,   342.98,   575.69
  692.99,   344.55,   700.67
  693.62,   466.37,   449.11
  692.08,   467.94,   574.09
  690.54,   469.51,   699.07
  451.70,   450.20,   211.13
  449.26,   449.00,   336.10
  446.81,   447.80,   461.07
  451.93,   575.19,   212.34
  449.48,   573.99,   337.31
  447.04,   572.79,   462.28
  452.16,   700.19,   213.54
  449.71,   698.99,   338.51
  447.27,   697.78,   463.48
  576.68,   449.95,   213.57
  574.23,   448.75,   338.54
  571.79,   447.54,   463.51
  576.90,   574.94,   214.78
  574.46,   573.74,   339.75
  572.01,   572.54,   464.72
  577.13,   699.94,   215.99
  574.69,   698.73,   340.96
  572.24,   697.53,   465.93
  701.65,   449.70,   216.01
  699.21,   448.49,   340.99
  696.76,   447.29,   465.96
  701.88,   574.69,   217.22
  699.44,   573.49,   342.19
  696.99,   572.29,   467.16
  702.11,   699.68,   218.43
  699.66,   698.48,   343.40
  697.22,   697.28,   468.37
  451.30,   449.47,   449.18
  453.58,   450.47,   574.16
  455.85,   451.47,   699.13
  448.80,   574.44,   448.23
  451.07,   575.44,   573.20
  453.35,   576.44,   698.18
  446.30,   699.41,   447.27
  448.57,   700.41,   572.25
  450.85,   701.41,   697.22
  576.25,   451.95,   446.88
  578.53,   452.95,   571.86
  580.81,   453.95,   696.84
  573.75,   576.92,   445.93
  576.03,   577.92,   570.91
  578.30,   578.93,   695.88
  571.25,   701.90,   444.98
  573.53,   702.90,   569.95
  575.80,   703.90,   694.93
  701.21,   454.44,   444.59
  703.48,   455.44,   569.56
  705.76,   456.44,   694.54
  698.71,   579.41,   443.63
  700.98,   580.41,   568.61
  703.26,   581.41,   693.59
  696.21,   704.38,   442.68
  698.48,   705.38,   567.66
  700.76,   706.38,   692.63
