27, 125 pa2-unknown-h-our-output2.txt
  220.94,   222.44,   730.06
  219.23,   219.65,   854.73
  221.71,   350.47,   607.73
  219.83,   347.79,   732.96
  218.06,   344.45,   857.71
  348.96,   101.59,   603.88
  347.04,    98.56,   728.84
  345.18,    95.73,   853.98
  347.85,   226.52,   606.87
  346.00,   223.57,   731.79
  343.86,   220.88,   857.01
  347.05,   351.68,   609.65
  344.86,   348.55,   734.83
  343.21,   345.70,   859.58
   99.39,   223.31,    98.49
   98.60,   225.68,   223.53
   97.85,   227.98,   348.32
   98.49,   348.28,    95.82
   97.87,   350.64,   221.02
   97.18,   353.06,   345.78
   98.03,   473.22,    93.67
   97.17,   475.68,   218.57
   96.28,   478.22,   343.61
  224.39,   224.14,    99.18
  223.65,   226.38,   224.24
  222.83,   228.75,   348.96
  223.63,   349.01,    96.83
  222.71,   351.36,   221.64
  222.13,   353.85,   346.58
  223.02,   474.18,    94.18
  222.10,   476.41,   219.28
  221.26,   479.06,   344.18
  349.29,   224.71,    99.89
  348.58,   227.28,   224.96
  347.87,   229.78,   349.82
  348.50,   349.89,    97.41
  348.03,   352.10,   222.49
  347.26,   354.80,   347.34
  347.93,   474.62,    94.90
  347.05,   477.01,   219.80
  346.19,   479.45,   345.02
  101.17,   226.31,   223.38
  103.08,   225.94,   348.62
  104.95,   226.30,   473.42
  100.36,   351.11,   223.65
  102.19,   350.93,   348.37
  104.09,   350.96,   473.58
   99.66,   476.09,   223.51
  101.31,   476.04,   348.64
  103.38,   476.08,   473.57
  226.19,   226.95,   221.45
  228.15,   226.98,   346.64
  230.03,   227.07,   471.48
  225.22,   351.93,   221.45
  227.08,   351.79,   346.51
  229.14,   351.79,   471.60
  224.64,   477.06,   221.74
  226.62,   476.74,   346.70
  228.19,   476.90,   471.81
  350.92,   227.89,   219.58
  352.95,   227.80,   344.48
  355.05,   227.60,   469.66
  350.16,   352.92,   219.70
  352.17,   352.96,   344.71
  354.24,   352.87,   469.65
  349.45,   477.78,   219.58
  351.27,   477.74,   344.61
  353.17,   477.61,   469.53
   98.50,   227.11,   348.81
   97.33,   224.02,   474.16
   96.12,   221.13,   598.91
   97.81,   351.94,   351.93
   96.50,   348.91,   477.02
   95.14,   345.90,   601.94
   96.81,   476.68,   354.84
   95.66,   473.94,   479.82
   94.12,   471.16,   604.55
  223.67,   227.98,   350.09
  222.50,   224.81,   475.15
  221.20,   222.04,   600.10
  222.56,   352.70,   352.99
  221.19,   349.85,   478.24
  220.11,   346.78,   602.83
  221.86,   477.77,   356.11
  220.37,   475.03,   481.00
  219.17,   472.10,   605.89
  348.54,   228.60,   351.48
  347.48,   225.97,   476.52
  345.97,   222.83,   601.56
  347.65,   353.66,   354.30
  346.41,   350.75,   479.50
  345.25,   348.05,   604.24
  346.67,   478.64,   357.20
  345.51,   475.85,   482.28
  344.21,   472.98,   607.21
  101.58,   224.24,   475.20
   98.25,   225.30,   599.97
   95.03,   226.24,   725.14
   99.16,   349.33,   473.82
   96.07,   350.25,   598.73
   92.73,   351.52,   723.99
   97.10,   474.26,   472.65
   93.75,   475.08,   597.63
   90.29,   476.42,   722.73
  226.77,   226.39,   478.40
  223.23,   227.83,   603.40
  220.07,   228.83,   728.20
  224.26,   351.58,   477.38
  220.89,   352.66,   602.29
  217.85,   353.91,   727.13
  221.94,   476.61,   475.90
  218.81,   477.73,   601.05
  215.42,   478.72,   725.85
  351.61,   228.74,   481.48
  348.23,   230.05,   606.55
  344.94,   231.28,   731.76
  349.20,   353.97,   480.65
  345.86,   355.02,   605.31
  342.41,   355.91,   730.29
  347.11,   478.76,   479.15
  343.43,   479.84,   604.43
  340.30,   481.00,   729.02
  100.51,   226.96,   601.51
  100.08,   229.58,   726.39
   99.40,   232.02,   851.35
  102.07,   351.76,   598.74
  101.69,   354.58,   723.50
  101.25,   357.20,   848.73
  103.57,   476.85,   596.15
  103.35,   479.24,   721.18
  103.00,   481.87,   846.21
  225.37,   225.20,   601.97
  224.97,   227.69,   726.88
  224.40,   230.43,   851.85
  227.03,   350.26,   599.26
  226.80,   352.68,   724.30
  226.47,   355.53,   849.32
  228.50,   475.07,   596.45
  228.29,   477.89,   721.59
  227.58,   480.30,   846.56
  350.34,   223.46,   602.10
  349.81,   226.34,   727.08
  349.41,   228.73,   852.10
  352.12,   348.42,   599.61
  351.70,   351.06,   724.73
  351.11,   353.63,   849.55
  353.47,   473.73,   597.21
  353.43,   476.23,   721.81
  352.68,   478.83,   847.04
   98.85,   348.69,    99.81
   98.91,   346.93,   224.92
   98.97,   345.26,   349.92
  101.55,   473.61,   101.45
  101.56,   471.93,   226.45
  101.56,   470.12,   351.46
  104.20,   598.46,   103.05
  104.34,   596.72,   228.10
  104.42,   595.24,   353.29
  223.84,   345.95,    99.69
  224.07,   344.26,   224.69
  224.02,   342.62,   349.76
  226.39,   470.87,   101.49
  226.66,   469.22,   226.59
  226.75,   467.50,   351.34
  229.15,   595.92,   103.21
  229.49,   594.22,   227.99
  229.33,   592.50,   352.93
  349.05,   343.13,    99.88
  348.80,   341.63,   224.60
  348.87,   340.04,   349.64
  351.76,   468.30,   101.36
  351.66,   466.61,   226.54
  351.59,   464.84,   351.36
  354.15,   592.97,   103.14
  354.36,   591.42,   227.83
  354.35,   589.94,   352.85
  101.74,   349.79,   226.42
  104.48,   352.46,   351.66
  107.57,   355.35,   476.32
   99.51,   474.54,   223.89
  102.36,   477.54,   348.55
  105.11,   480.46,   473.69
   97.31,   599.64,   221.01
  100.34,   602.32,   345.70
  103.18,   605.35,   470.47
  226.74,   351.90,   223.81
  229.63,   354.66,   348.64
  232.44,   357.77,   473.83
  224.64,   476.72,   220.83
  227.46,   479.72,   345.70
  230.28,   482.49,   470.62
  222.20,   601.72,   217.95
  224.93,   604.57,   342.84
  227.95,   607.77,   467.73
  351.56,   354.05,   220.80
  354.40,   357.07,   345.78
  357.52,   359.66,   470.65
  349.62,   478.88,   218.16
  352.28,   481.96,   343.11
  355.26,   484.61,   468.02
  347.50,   603.73,   214.98
  350.15,   606.90,   340.13
  352.88,   609.81,   464.79
  100.98,   349.07,   351.11
   99.34,   349.33,   476.11
   97.57,   349.56,   601.30
  102.00,   473.88,   350.74
  100.02,   474.29,   475.85
   98.38,   474.68,   600.77
  102.65,   598.75,   350.54
  100.87,   599.37,   475.53
   99.46,   599.66,   600.46
  225.95,   347.90,   353.00
  224.14,   348.58,   477.92
  222.58,   348.60,   602.78
  227.14,   472.94,   352.71
  225.05,   473.52,   477.50
  223.26,   473.67,   602.74
  227.88,   598.05,   352.12
  226.09,   598.35,   477.26
  224.37,   598.79,   602.15
  350.96,   347.01,   354.73
  349.01,   347.44,   479.94
  347.27,   347.83,   604.59
  352.02,   472.14,   354.28
  350.19,   472.63,   479.38
  348.17,   472.95,   604.22
  352.62,   597.20,   353.95
  350.89,   597.64,   479.09
  349.27,   597.80,   603.80
   98.53,   349.78,   476.68
   96.82,   348.52,   601.48
   94.94,   347.32,   726.62
   98.02,   474.58,   477.75
   96.03,   473.55,   602.97
   94.15,   472.10,   727.95
   97.05,   599.64,   479.07
   95.10,   598.42,   603.96
   93.53,   597.37,   728.80
  223.63,   350.28,   478.46
  221.76,   349.32,   603.59
  220.00,   348.07,   728.51
  222.81,   475.45,   479.61
  221.14,   474.13,   604.53
  219.26,   473.02,   729.71
  221.98,   600.24,   480.82
  220.25,   599.27,   605.73
  218.19,   598.11,   731.12
  348.61,   351.03,   480.46
  346.97,   350.09,   605.58
  344.77,   348.72,   730.32
  347.74,   475.99,   481.49
  345.92,   474.92,   606.55
  344.07,   473.65,   731.71
  347.05,   601.05,   482.70
  345.05,   599.81,   607.84
  343.55,   598.66,   732.75
  101.59,   349.08,   601.08
  101.68,   351.59,   726.09
  101.68,   354.37,   851.03
  101.03,   473.92,   598.50
  100.88,   476.66,   723.34
  101.12,   479.50,   848.21
  100.27,   599.11,   595.63
  100.52,   601.84,   720.76
  100.61,   604.16,   845.42
  226.64,   349.64,   601.02
  226.61,   352.23,   725.89
  226.89,   355.09,   850.82
  225.97,   474.62,   598.48
  225.89,   477.43,   723.26
  226.08,   480.04,   848.37
  225.33,   599.68,   595.58
  225.53,   602.31,   720.41
  225.76,   605.10,   845.60
  351.62,   350.41,   601.02
  351.59,   353.32,   725.89
  351.83,   355.87,   850.94
  350.90,   475.44,   598.27
  351.18,   478.20,   723.00
  351.18,   480.70,   847.99
  350.54,   600.15,   595.55
  350.38,   603.15,   720.36
  350.68,   605.86,   845.64
   99.80,   476.65,    98.49
   99.67,   474.62,   223.59
   99.35,   472.78,   348.32
   98.62,   601.47,   100.54
   98.49,   599.66,   225.52
   98.23,   597.44,   350.28
   97.26,   726.67,   102.43
   97.27,   724.51,   227.25
   97.16,   722.59,   352.38
  224.89,   477.90,    98.60
  224.66,   475.85,   223.47
  224.43,   473.63,   348.59
  223.81,   602.78,   100.47
  223.58,   600.83,   225.69
  223.25,   598.75,   350.64
  222.45,   727.72,   102.51
  222.06,   725.65,   227.59
  222.14,   723.80,   352.64
  350.05,   479.17,    98.64
  349.58,   476.87,   223.80
  349.42,   474.96,   348.91
  348.54,   603.85,   100.92
  348.26,   602.07,   225.71
  348.24,   599.98,   350.79
  347.52,   729.04,   103.01
  347.14,   727.06,   227.88
  347.18,   725.00,   352.95
  100.72,   473.68,   224.52
   99.47,   475.45,   349.66
   98.01,   477.48,   474.73
  100.02,   598.66,   222.65
   98.88,   600.51,   347.74
   97.42,   602.27,   472.87
   99.67,   723.74,   220.86
   98.34,   725.68,   345.81
   96.86,   727.21,   470.97
  225.68,   474.17,   226.06
  224.16,   475.93,   351.12
  222.82,   477.94,   476.16
  224.97,   599.11,   224.37
  223.83,   601.24,   349.29
  222.39,   602.98,   474.24
  224.69,   724.18,   222.27
  223.20,   726.10,   347.29
  221.88,   727.76,   472.17
  350.54,   474.99,   227.23
  349.31,   476.70,   352.51
  348.08,   478.68,   477.25
  350.30,   600.02,   225.49
  348.86,   601.74,   350.70
  347.46,   603.49,   475.30
  349.81,   724.85,   223.66
  348.30,   726.54,   348.57
  346.69,   728.38,   473.69
   99.74,   475.99,   348.96
   99.90,   475.03,   473.92
  100.08,   474.30,   598.88
   96.74,   600.98,   350.08
   97.13,   600.01,   474.95
   97.36,   599.08,   599.96
   93.86,   725.99,   350.73
   94.11,   724.88,   475.86
   94.36,   724.01,   600.83
  224.74,   478.86,   348.67
  224.90,   477.93,   473.94
  225.17,   477.21,   598.68
  221.49,   603.93,   349.57
  221.91,   602.94,   474.46
  222.16,   601.99,   599.70
  218.91,   728.69,   350.56
  218.91,   727.83,   475.45
  219.32,   727.16,   600.60
  349.43,   481.63,   348.58
  349.62,   480.68,   473.73
  349.81,   479.88,   598.47
  346.82,   606.89,   349.41
  346.87,   605.67,   474.40
  347.21,   604.97,   599.50
  343.74,   731.78,   350.30
  343.95,   730.76,   475.43
  344.09,   729.97,   600.54
   98.65,   476.24,   473.84
   94.93,   474.22,   598.47
   91.56,   472.23,   723.51
   96.61,   601.20,   475.55
   92.96,   599.07,   600.44
   89.10,   596.98,   725.58
   94.20,   726.32,   477.68
   90.55,   724.30,   602.41
   86.92,   721.99,   727.33
  223.60,   478.55,   477.41
  219.77,   476.38,   602.41
  216.11,   474.14,   727.12
  221.42,   603.37,   479.15
  217.60,   601.15,   604.22
  214.22,   599.39,   729.34
  219.28,   728.37,   481.19
  215.31,   726.47,   606.28
  211.81,   724.25,   731.14
  348.55,   480.39,   481.26
  344.71,   478.38,   606.06
  341.07,   476.72,   730.88
  346.40,   605.47,   482.92
  342.75,   603.57,   607.96
  338.95,   601.55,   732.86
  343.94,   730.47,   484.88
  340.58,   728.43,   609.97
  336.61,   726.46,   734.78
  100.46,   474.99,   599.95
   98.27,   471.96,   724.57
   95.93,   469.03,   849.70
   96.61,   599.98,   602.88
   94.41,   596.87,   727.84
   92.42,   593.86,   852.74
   93.03,   724.90,   605.76
   91.13,   721.76,   730.70
   88.79,   718.80,   855.72
  225.19,   478.52,   602.09
  222.90,   475.41,   726.98
  220.83,   472.47,   851.93
  221.84,   603.44,   604.97
  219.62,   600.36,   729.89
  217.60,   597.23,   854.92
  218.10,   728.34,   608.20
  215.97,   725.36,   733.20
  213.95,   722.11,   858.00
  350.07,   481.98,   604.44
  347.98,   478.79,   729.29
  345.75,   475.89,   854.11
  346.77,   607.04,   607.40
  344.60,   603.99,   732.19
  342.31,   600.88,   857.21
  343.18,   732.08,   610.22
  340.96,   728.89,   735.33
  338.64,   725.60,   860.16
   98.04,   600.95,   101.44
   97.10,   597.72,   226.37
   95.69,   594.75,   351.56
  101.36,   725.68,   104.84
   99.88,   722.41,   229.81
   98.78,   719.39,   354.74
  104.20,   850.66,   107.83
  103.11,   847.63,   232.70
  101.86,   844.51,   357.81
  223.20,   597.65,   102.74
  221.73,   594.71,   227.53
  220.62,   591.66,   352.61
  226.12,   722.69,   105.73
  224.85,   719.51,   230.66
  223.61,   716.45,   355.66
  229.30,   847.50,   108.72
  227.91,   844.45,   234.03
  226.80,   841.44,   358.84
  347.88,   594.51,   103.67
  346.85,   591.40,   228.62
  345.74,   588.23,   353.75
  351.17,   719.49,   106.94
  350.06,   716.30,   231.97
  348.74,   713.36,   356.88
  354.00,   844.34,   110.05
  353.11,   841.37,   235.01
  351.74,   838.17,   359.84
  101.04,   600.36,   225.01
  102.42,   596.80,   349.73
  103.75,   593.61,   474.58
  104.40,   725.21,   228.40
  105.66,   721.85,   352.95
  107.09,   718.35,   478.16
  107.62,   849.99,   231.67
  109.21,   846.64,   356.59
  110.24,   843.16,   481.49
  226.08,   596.96,   223.38
  227.34,   593.64,   348.46
  228.92,   590.07,   473.10
  229.22,   722.05,   226.87
  230.89,   718.52,   351.90
  232.02,   715.05,   476.85
  232.61,   846.72,   229.98
  234.14,   843.26,   355.09
  235.35,   840.07,   480.12
  351.25,   593.77,   222.03
  352.24,   590.18,   347.08
  353.81,   586.90,   472.03
  354.35,   718.81,   225.47
  355.80,   715.38,   350.42
  357.19,   711.63,   475.03
  357.59,   843.61,   228.70
  358.88,   840.33,   353.70
  360.50,   836.74,   478.42
  100.53,   601.81,   349.63
   97.31,   601.20,   474.86
   94.51,   600.37,   599.61
  101.71,   726.58,   350.40
   98.58,   726.16,   475.34
   95.62,   725.41,   600.25
  102.77,   851.59,   350.76
   99.67,   851.12,   475.93
   96.52,   850.31,   600.78
  225.44,   600.54,   352.78
  222.42,   599.99,   477.92
  219.35,   599.42,   602.73
  226.63,   725.43,   353.63
  223.49,   724.77,   478.36
  220.53,   724.27,   603.63
  227.91,   850.64,   354.13
  224.68,   849.79,   479.06
  221.62,   849.42,   604.09
  350.57,   599.28,   356.11
  347.59,   598.79,   480.78
  344.29,   598.42,   605.95
  351.73,   724.31,   356.37
  348.69,   723.91,   481.60
  345.20,   723.37,   606.69
  352.54,   849.36,   357.23
  349.69,   848.94,   482.12
  346.65,   848.17,   607.29
  100.20,   598.87,   473.62
  103.07,   596.16,   598.65
  105.91,   593.78,   723.21
   97.20,   723.63,   476.11
  100.13,   721.36,   601.06
  103.09,   718.46,   726.27
   94.12,   848.83,   478.92
   97.09,   846.31,   603.93
  100.20,   843.58,   728.78
  225.19,   601.84,   470.67
  227.97,   599.52,   595.71
  231.12,   596.69,   720.45
  222.01,   727.00,   473.22
  224.85,   724.42,   598.20
  227.95,   721.70,   723.05
  219.00,   852.00,   476.04
  222.22,   849.21,   600.69
  224.93,   846.67,   725.69
  350.09,   605.05,   467.69
  352.97,   602.61,   592.71
  356.22,   599.85,   717.43
  346.96,   729.86,   470.25
  349.82,   727.46,   595.08
  352.89,   724.67,   720.27
  344.05,   855.09,   473.11
  346.78,   852.47,   597.83
  349.88,   849.83,   722.87
   98.40,   598.44,   600.00
   97.59,   596.11,   725.13
   96.28,   593.36,   850.13
   97.57,   723.63,   602.81
   96.31,   721.06,   727.86
   95.34,   718.19,   852.75
   96.42,   848.56,   605.30
   94.98,   845.86,   730.35
   94.01,   843.22,   855.32
  223.55,   599.65,   601.25
  222.62,   597.09,   726.34
  221.23,   594.36,   851.19
  222.24,   724.80,   604.04
  221.49,   721.89,   728.71
  219.93,   719.57,   853.78
  221.12,   849.63,   606.58
  219.97,   847.00,   731.46
  219.11,   844.50,   856.21
  348.77,   600.67,   602.57
  347.47,   598.36,   727.60
  346.25,   595.45,   852.29
  347.34,   725.78,   605.11
  346.28,   722.97,   729.82
  345.02,   720.43,   855.05
  346.18,   850.72,   607.68
  345.32,   847.98,   732.66
  343.72,   845.55,   857.80
  226.89,   100.51,    98.36
  224.50,    97.26,   223.45
  222.03,    93.76,   348.31
  230.05,   225.51,   102.04
  227.92,   221.81,   226.95
  225.29,   218.55,   351.65
  233.31,   350.18,   105.44
  231.04,   347.02,   230.40
  228.90,   343.62,   355.38
  351.70,    96.87,   100.72
  349.18,    93.70,   225.71
  346.95,    90.33,   350.53
  354.87,   221.99,   104.00
  352.93,   218.47,   229.31
  350.23,   215.08,   354.05
  358.60,   346.73,   107.48
  356.21,   343.58,   232.57
  353.69,   340.27,   357.40
  476.65,    93.65,   102.98
  474.36,    90.47,   228.03
  471.87,    86.82,   352.89
  480.10,   218.55,   106.42
  477.58,   215.36,   231.28
  475.35,   211.78,   356.29
  483.21,   343.59,   109.75
  481.16,   340.25,   234.74
  478.69,   336.69,   359.63
  223.74,   101.66,   226.48
  223.89,   103.02,   351.43
  224.17,   104.14,   476.72
  221.70,   226.59,   225.23
  222.15,   228.03,   350.53
  222.14,   228.88,   475.26
  219.94,   351.77,   224.31
  219.96,   352.97,   349.25
  220.18,   354.21,   474.22
  348.81,   103.63,   226.40
  349.08,   104.75,   351.19
  349.17,   105.98,   476.41
  347.03,   228.62,   225.14
  346.81,   229.84,   350.28
  346.93,   230.79,   475.00
  345.12,   353.68,   223.92
  345.09,   354.70,   349.05
  345.36,   355.77,   473.87
  473.66,   105.53,   226.24
  473.86,   106.69,   351.29
  474.15,   107.76,   475.94
  471.75,   230.47,   224.90
  472.09,   231.44,   350.12
  472.23,   232.71,   475.05
  469.86,   355.33,   223.90
  470.22,   356.51,   348.79
  470.40,   357.88,   473.85
  224.79,   101.81,   349.65
  221.42,   101.52,   474.70
  218.49,   101.57,   599.54
  223.92,   227.02,   350.04
  220.91,   226.66,   474.78
  217.42,   226.43,   600.00
  223.17,   351.70,   350.08
  219.89,   351.83,   475.36
  217.00,   351.31,   600.16
  349.61,   102.74,   353.23
  346.41,   102.47,   478.07
  343.05,   102.22,   603.08
  349.02,   227.69,   353.33
  345.87,   227.39,   478.12
  342.46,   227.02,   603.23
  348.41,   352.39,   353.42
  344.87,   352.30,   478.40
  341.86,   352.19,   603.39
  474.77,   103.30,   356.22
  471.33,   102.95,   481.19
  468.34,   103.02,   606.32
  473.87,   228.33,   356.31
  470.75,   228.07,   481.32
  467.39,   227.77,   606.22
  473.33,   353.43,   356.65
  470.00,   353.16,   481.71
  466.68,   352.75,   606.51
  223.70,   100.56,   475.50
  227.32,    97.06,   600.04
  230.55,    93.74,   725.07
  221.57,   225.37,   478.67
  225.12,   221.99,   603.44
  228.60,   218.59,   728.29
  219.34,   350.54,   482.30
  222.77,   346.98,   606.96
  226.50,   343.80,   732.06
  348.69,   102.85,   471.64
  352.33,    99.25,   596.77
  355.63,    96.12,   721.67
  346.48,   227.85,   475.11
  350.02,   224.36,   600.29
  353.43,   220.99,   725.15
  344.34,   352.68,   478.86
  348.01,   349.34,   603.60
  351.40,   346.02,   728.74
  473.49,   105.24,   468.38
  477.22,   101.91,   593.29
  480.66,    98.21,   718.39
  471.47,   230.02,   471.72
  475.11,   226.57,   596.92
  478.30,   223.14,   721.86
  469.29,   355.07,   475.35
  472.72,   351.63,   600.27
  475.99,   348.28,   725.14
  226.06,   100.11,   599.32
  228.62,   101.87,   724.47
  230.88,   103.27,   849.19
  227.44,   225.17,   597.91
  229.99,   226.58,   722.66
  231.93,   228.45,   847.86
  228.99,   350.30,   596.37
  231.35,   351.91,   721.34
  233.42,   353.45,   846.37
  351.06,    98.92,   597.29
  353.62,   100.46,   722.05
  355.57,   102.10,   847.17
  352.70,   223.65,   595.54
  354.84,   225.40,   720.55
  357.14,   226.82,   845.45
  353.71,   348.87,   594.06
  356.32,   350.50,   718.90
  358.20,   351.78,   844.12
  476.28,    97.44,   594.71
  478.24,    98.79,   719.79
  480.71,   100.68,   844.81
  477.54,   222.31,   593.32
  479.74,   223.97,   718.34
  482.16,   225.57,   843.31
  478.77,   347.33,   591.58
  481.18,   349.01,   716.68
  483.16,   350.75,   841.94
  225.40,   224.46,   101.23
  228.46,   226.10,   226.18
  231.29,   227.52,   351.07
  225.58,   349.36,    99.58
  228.36,   351.17,   224.72
  231.16,   352.53,   349.55
  225.40,   474.44,    98.07
  228.61,   476.15,   223.16
  231.21,   477.82,   347.91
  350.42,   224.29,    98.63
  353.27,   225.85,   223.44
  356.05,   227.59,   348.42
  350.46,   349.26,    97.04
  353.19,   351.07,   221.66
  356.30,   352.73,   346.78
  350.53,   474.31,    95.31
  353.53,   475.75,   220.10
  356.18,   477.57,   345.17
  475.36,   224.28,    95.57
  478.23,   225.73,   220.49
  481.08,   227.69,   345.67
  475.27,   349.33,    94.07
  478.34,   350.77,   218.86
  481.19,   352.35,   343.97
  475.54,   474.09,    92.42
  478.36,   475.77,   217.49
  481.22,   477.60,   342.16
  225.00,   225.89,   226.04
  221.41,   223.80,   351.24
  217.98,   221.83,   476.05
  223.84,   350.92,   228.13
  220.25,   348.73,   352.94
  216.69,   347.20,   477.77
  222.87,   475.58,   229.78
  219.16,   473.73,   355.00
  215.78,   471.86,   479.64
  350.02,   226.97,   229.75
  346.50,   225.14,   354.84
  342.73,   222.93,   479.73
  348.90,   352.09,   231.59
  345.38,   350.05,   356.75
  341.63,   348.20,   481.48
  347.91,   477.06,   233.54
  344.33,   474.84,   358.58
  340.40,   473.00,   483.54
  474.91,   228.16,   233.52
  471.36,   226.15,   358.18
  467.96,   224.19,   483.45
  473.91,   353.08,   235.41
  470.34,   351.00,   360.09
  466.54,   349.25,   485.38
  472.78,   478.01,   237.34
  469.17,   476.22,   362.21
  465.41,   474.14,   486.87
  225.81,   224.50,   351.07
  222.33,   227.87,   475.79
  218.50,   231.28,   600.58
  229.11,   349.22,   347.51
  225.41,   352.58,   472.29
  222.01,   356.38,   597.39
  232.51,   473.99,   344.30
  229.06,   477.61,   469.01
  225.05,   481.01,   594.01
  350.72,   221.19,   354.76
  346.95,   224.52,   479.63
  343.49,   228.14,   604.43
  354.14,   346.12,   351.16
  350.55,   349.59,   476.01
  346.81,   352.92,   601.28
  357.48,   470.76,   347.81
  353.55,   474.43,   472.58
  350.07,   478.14,   597.66
  475.86,   217.79,   358.63
  471.89,   221.38,   483.36
  468.36,   225.12,   608.43
  478.89,   342.85,   355.09
  475.26,   346.39,   479.87
  471.79,   349.74,   604.76
  482.42,   467.89,   351.38
  478.72,   471.08,   476.44
  475.10,   474.78,   601.55
  226.05,   224.18,   475.40
  223.96,   223.39,   600.18
  221.91,   222.15,   725.10
  226.90,   349.37,   476.36
  224.63,   348.23,   601.30
  222.54,   347.25,   726.24
  227.46,   474.31,   477.52
  225.53,   473.02,   602.46
  223.22,   471.99,   727.43
  351.30,   223.73,   477.21
  348.79,   222.43,   602.40
  346.62,   221.48,   727.25
  351.88,   348.79,   478.47
  349.89,   347.47,   603.44
  347.43,   346.18,   728.67
  352.39,   473.57,   479.84
  350.36,   472.63,   604.57
  348.27,   471.55,   729.56
  476.20,   223.03,   479.42
  474.13,   221.77,   604.54
  471.93,   220.44,   729.61
  476.75,   347.87,   480.61
  474.81,   346.82,   605.57
  472.57,   345.71,   730.53
  477.72,   472.86,   482.00
  475.31,   471.80,   606.99
  473.36,   470.74,   731.58
  223.87,   226.74,   598.32
  222.92,   227.55,   723.23
  222.17,   229.00,   848.28
  227.68,   351.31,   597.16
  226.47,   352.79,   722.08
  225.96,   354.00,   846.87
  231.14,   476.51,   595.92
  230.01,   477.61,   720.90
  229.03,   478.78,   845.95
  348.80,   222.96,   599.38
