27, 125 pa2-unknown-g-our-output2.txt
  350.52,   102.64,   850.47
  353.30,   220.17,   596.94
  353.56,   223.94,   721.87
  353.80,   227.62,   846.80
  356.45,   345.08,   593.14
  356.68,   348.71,   718.11
  356.95,   352.47,   843.14
  101.46,   223.01,   100.23
   99.67,   219.87,   225.17
   97.85,   216.76,   350.09
  101.21,   348.01,   103.35
   99.39,   344.85,   228.29
   97.65,   341.66,   353.28
  100.92,   472.94,   106.50
   99.10,   469.79,   231.46
   97.31,   466.65,   356.41
  226.40,   223.24,   102.02
  224.67,   220.10,   227.01
  222.85,   216.94,   351.90
  226.25,   348.26,   105.15
  224.35,   345.09,   230.09
  222.58,   341.98,   355.09
  225.83,   473.17,   108.35
  224.13,   470.03,   233.29
  222.30,   466.89,   358.16
  351.38,   223.48,   103.86
  349.66,   220.39,   228.78
  347.84,   217.17,   353.71
  351.25,   348.46,   106.91
  349.38,   345.24,   231.85
  347.57,   342.17,   356.87
  350.79,   473.35,   110.14
  349.12,   470.28,   235.11
  347.27,   467.06,   359.98
   98.53,   225.29,   226.56
   95.76,   225.93,   351.51
   93.00,   226.53,   476.45
   97.96,   350.31,   225.90
   95.25,   350.87,   350.92
   92.43,   351.51,   475.92
   97.37,   475.29,   225.30
   94.61,   475.88,   350.29
   91.81,   476.58,   475.08
  223.52,   225.87,   229.35
  220.73,   226.48,   354.27
  217.98,   227.10,   479.22
  222.91,   350.90,   228.66
  220.17,   351.55,   353.67
  217.41,   352.19,   478.64
  222.38,   475.88,   228.10
  219.59,   476.50,   352.97
  216.86,   477.01,   477.96
  348.49,   226.52,   232.06
  345.71,   227.07,   357.03
  342.97,   227.68,   482.02
  347.91,   351.41,   231.38
  345.14,   352.09,   356.41
  342.39,   352.74,   481.36
  347.34,   476.48,   230.87
  344.54,   477.03,   355.75
  341.83,   477.59,   480.79
  101.95,   223.19,   351.11
  100.29,   226.22,   476.05
   98.63,   229.26,   600.98
   98.36,   348.04,   348.06
   96.63,   351.10,   473.05
   95.00,   354.15,   598.01
   94.63,   472.95,   344.98
   92.92,   476.09,   469.75
   91.33,   478.99,   594.80
  226.90,   226.86,   352.69
  225.23,   229.90,   477.62
  223.59,   232.92,   602.62
  223.24,   351.82,   349.64
  221.58,   354.89,   474.59
  219.86,   357.93,   599.51
  219.57,   476.69,   346.49
  217.94,   479.62,   471.46
  216.31,   482.69,   596.44
  351.84,   230.55,   354.27
  350.20,   233.60,   479.25
  348.51,   236.68,   604.18
  348.18,   355.48,   351.19
  346.52,   358.54,   476.13
  344.80,   361.56,   601.03
  344.50,   480.34,   348.07
  342.87,   483.32,   473.10
  341.20,   486.46,   598.04
  100.53,   226.67,   474.17
  101.49,   228.50,   599.13
  102.47,   230.32,   724.17
  101.05,   351.65,   472.43
  102.04,   353.47,   597.44
  102.96,   355.28,   722.32
  101.54,   476.72,   470.41
  102.57,   478.42,   595.48
  103.53,   480.32,   720.51
  225.53,   226.10,   473.22
  226.52,   227.90,   598.24
  227.44,   229.75,   723.22
  226.07,   351.19,   471.45
  226.98,   353.00,   596.40
  227.94,   354.75,   721.37
  226.61,   475.98,   469.59
  227.61,   477.84,   594.60
  228.55,   479.74,   719.60
  350.54,   225.55,   472.31
  351.50,   227.41,   597.30
  352.48,   229.27,   722.27
  351.06,   350.60,   470.46
  351.97,   352.38,   595.40
  352.95,   354.12,   720.42
  351.60,   475.45,   468.69
  352.56,   477.37,   593.68
  353.53,   479.24,   718.68
  101.25,   226.63,   598.98
   98.82,   225.99,   724.03
   96.37,   225.36,   848.97
   98.16,   351.58,   599.73
   95.68,   350.87,   724.62
   93.30,   350.16,   849.64
   95.04,   476.47,   600.22
   92.58,   475.87,   725.27
   90.08,   475.20,   850.22
  226.21,   229.68,   601.52
  223.72,   229.01,   726.48
  221.21,   228.30,   851.46
  223.03,   354.75,   602.13
  220.58,   354.01,   727.08
  218.13,   353.33,   852.06
  220.02,   479.57,   602.76
  217.55,   478.98,   727.74
  215.06,   478.23,   852.71
  351.13,   232.83,   603.99
  348.70,   232.19,   728.96
  346.27,   231.50,   853.93
  347.97,   357.77,   604.54
  345.55,   357.01,   729.57
  343.10,   356.42,   854.59
  344.92,   482.74,   605.26
  342.49,   482.10,   730.27
  339.96,   481.37,   855.09
  100.99,   350.70,    98.89
   99.10,   351.20,   223.86
   97.30,   351.65,   348.90
   98.49,   475.61,    98.38
   96.62,   476.17,   223.34
   94.77,   476.64,   348.36
   96.05,   600.65,    97.83
   94.19,   601.14,   222.79
   92.33,   601.57,   347.85
  226.00,   353.19,   100.74
  224.05,   353.68,   225.70
  222.21,   354.21,   350.74
  223.37,   478.13,   100.23
  221.63,   478.64,   225.24
  219.74,   479.15,   350.13
  221.07,   603.16,    99.65
  219.13,   603.63,   224.63
  217.27,   604.14,   349.63
  350.97,   355.67,   102.54
  349.04,   356.09,   227.51
  347.17,   356.65,   352.56
  348.31,   480.55,   102.06
  346.59,   481.13,   227.10
  344.69,   481.57,   351.99
  346.07,   605.59,   101.49
  344.08,   606.04,   226.45
  342.25,   606.60,   351.53
   98.64,   351.70,   223.02
  100.72,   353.40,   348.04
  102.68,   355.16,   473.04
   99.32,   476.70,   221.29
  101.35,   478.40,   346.29
  103.34,   480.22,   471.09
  100.04,   601.69,   219.55
  102.05,   603.35,   344.56
  104.12,   605.13,   469.56
  223.60,   351.00,   220.99
  225.66,   352.75,   346.02
  227.69,   354.51,   470.99
  224.34,   475.96,   219.35
  226.34,   477.71,   344.21
  228.39,   479.31,   469.21
  225.00,   600.97,   217.51
  227.01,   602.71,   342.51
  229.06,   604.50,   467.51
  348.62,   350.22,   218.94
  350.64,   352.01,   343.98
  352.67,   353.76,   468.94
  349.32,   475.28,   217.34
  351.30,   476.95,   342.21
  353.37,   478.62,   467.25
  349.96,   600.19,   215.47
  352.01,   601.98,   340.52
  354.06,   603.76,   465.48
  101.02,   351.53,   349.48
  103.75,   354.80,   474.43
  106.58,   358.04,   599.38
  104.09,   476.48,   346.15
  106.85,   479.80,   470.92
  109.72,   482.93,   595.94
  107.22,   601.37,   342.85
  110.06,   604.65,   467.83
  112.79,   607.88,   592.77
  225.90,   348.41,   346.77
  228.70,   351.67,   471.68
  231.45,   354.90,   596.57
  229.02,   473.29,   343.39
  231.85,   476.40,   468.35
  234.68,   479.66,   593.31
  232.14,   598.22,   340.12
  234.97,   601.50,   465.09
  237.69,   604.75,   589.96
  350.84,   345.17,   344.02
  353.64,   348.44,   468.94
  356.39,   351.63,   593.82
  353.94,   470.06,   340.69
  356.77,   473.22,   465.68
  359.57,   476.55,   590.61
  357.09,   595.00,   337.43
  359.91,   598.29,   462.36
  362.64,   601.49,   587.20
  100.56,   348.27,   475.32
   99.64,   347.75,   600.32
   98.65,   347.21,   725.22
  100.72,   473.34,   475.61
   99.82,   472.69,   600.70
   98.85,   472.27,   725.76
  101.01,   598.27,   476.35
   99.99,   597.74,   601.34
   99.03,   597.24,   726.26
  225.57,   348.15,   476.22
  224.55,   347.63,   601.20
  223.62,   347.05,   726.17
  225.79,   472.95,   476.71
  224.85,   472.48,   601.74
  223.89,   472.04,   726.74
  225.96,   598.14,   477.27
  224.94,   597.61,   602.24
  224.00,   597.03,   727.20
  350.58,   347.91,   477.16
  349.56,   347.36,   602.10
  348.64,   346.76,   727.14
  350.78,   472.77,   477.72
  349.81,   472.36,   602.71
  348.88,   471.88,   727.74
  350.97,   597.93,   478.22
  349.94,   597.38,   603.12
  349.04,   596.80,   728.21
   98.43,   349.82,   601.29
   95.38,   350.64,   726.16
   92.44,   351.49,   851.16
   95.69,   474.72,   600.22
   92.66,   475.65,   725.26
   89.59,   476.52,   850.20
   92.94,   599.73,   599.43
   89.93,   600.63,   724.35
   87.02,   601.48,   849.15
  223.28,   352.64,   604.21
  220.28,   353.44,   729.15
  217.26,   354.30,   854.12
  220.67,   477.46,   603.30
  217.62,   478.41,   728.26
  214.56,   479.22,   853.22
  217.82,   602.56,   602.36
  214.80,   603.35,   727.26
  211.79,   604.21,   852.36
  348.23,   355.31,   607.16
  345.24,   356.09,   732.16
  342.21,   357.05,   857.17
  345.56,   480.29,   606.32
  342.56,   481.18,   731.33
  339.47,   482.01,   856.11
  342.76,   605.27,   605.28
  339.78,   606.05,   730.33
  336.78,   607.04,   855.20
   99.55,   475.70,    98.39
  101.17,   477.49,   223.35
  102.80,   479.19,   348.33
  100.60,   600.76,    96.62
  102.25,   602.49,   221.60
  103.85,   604.15,   346.60
  101.62,   725.71,    94.92
  103.24,   727.48,   219.89
  104.90,   729.16,   344.88
  224.44,   474.70,    96.75
  226.19,   476.41,   221.79
  227.79,   478.14,   346.67
  225.64,   599.74,    95.00
  227.20,   601.42,   219.96
  228.83,   603.15,   344.97
  226.52,   724.66,    93.35
  228.27,   726.36,   218.21
  229.90,   728.12,   343.33
  349.38,   473.56,    95.13
  351.18,   475.38,   220.19
  352.76,   477.04,   345.06
  350.71,   598.63,    93.43
  352.17,   600.30,   218.33
  353.83,   602.06,   343.38
  351.72,   723.77,    91.86
  353.22,   725.26,   216.63
  354.87,   727.14,   341.68
  100.13,   473.81,   223.44
  103.78,   474.88,   348.39
  107.40,   476.05,   473.18
  100.91,   598.82,   222.34
  104.54,   599.84,   347.30
  108.23,   600.97,   472.29
  101.62,   723.81,   221.24
  105.29,   724.86,   346.21
  108.88,   725.98,   471.04
  225.12,   473.02,   219.86
  228.73,   474.11,   344.70
  232.42,   475.07,   469.67
  225.84,   598.03,   218.67
  229.47,   599.12,   343.63
  233.15,   600.25,   468.61
  226.60,   722.98,   217.54
  230.25,   724.11,   342.63
  233.89,   725.07,   467.38
  350.06,   472.27,   216.23
  353.66,   473.30,   341.07
  357.35,   474.31,   466.08
  350.76,   597.19,   215.01
  354.44,   598.33,   340.02
  358.11,   599.46,   464.96
  351.51,   722.15,   213.91
  355.19,   723.41,   338.96
  358.79,   724.34,   463.76
  101.37,   474.46,   350.70
   99.65,   477.16,   475.49
   98.01,   479.65,   600.55
  103.37,   599.38,   348.11
  101.73,   602.05,   473.12
   99.97,   604.66,   598.08
  105.36,   724.36,   345.52
  103.61,   727.06,   470.36
  101.97,   729.59,   595.39
  226.35,   472.51,   352.38
  224.69,   475.02,   477.38
  223.03,   477.69,   602.36
  228.34,   597.50,   349.83
  226.65,   600.17,   474.82
  224.90,   602.79,   599.75
  230.35,   722.45,   347.31
  228.64,   724.94,   472.10
  226.96,   727.65,   597.25
  351.32,   470.52,   354.14
  349.66,   473.09,   479.17
  347.96,   475.82,   604.13
  353.33,   595.53,   351.59
  351.64,   598.21,   476.54
  349.88,   600.79,   601.41
  355.31,   720.57,   349.01
  353.57,   723.05,   473.85
  351.95,   725.79,   598.92
   99.37,   474.30,   475.09
  102.57,   472.93,   600.14
  105.68,   471.77,   725.13
   97.84,   599.21,   476.60
  100.89,   597.95,   601.55
  104.01,   596.69,   726.42
   96.11,   724.31,   477.74
   99.29,   722.92,   602.78
  102.40,   721.69,   727.74
  224.40,   475.79,   472.12
  227.55,   474.56,   597.10
  230.67,   473.39,   722.07
  222.74,   600.96,   473.46
  225.80,   599.70,   598.38
  228.93,   598.36,   723.31
  221.10,   725.74,   474.65
  224.24,   724.59,   599.78
  227.39,   723.37,   724.61
  349.34,   477.47,   469.06
  352.46,   476.31,   594.02
  355.61,   475.11,   719.00
  347.71,   602.62,   470.34
  350.77,   601.32,   595.21
  353.92,   600.00,   720.22
  346.02,   727.49,   471.54
  349.21,   726.34,   596.60
  352.27,   724.97,   721.56
   99.97,   476.08,   601.78
  103.70,   478.66,   726.74
  107.39,   481.15,   851.71
  102.01,   601.08,   599.37
  105.74,   603.54,   724.18
  109.42,   605.92,   849.34
  104.10,   726.00,   596.77
  107.82,   728.52,   721.69
  111.24,   731.03,   846.82
  224.93,   473.90,   598.15
  228.66,   476.45,   723.09
  232.37,   478.88,   847.97
  226.89,   599.01,   595.59
  230.64,   601.40,   720.48
  234.43,   603.90,   845.44
  229.04,   723.88,   593.15
  232.83,   726.39,   717.97
  236.56,   728.87,   842.84
  349.82,   471.82,   594.47
  353.58,   474.35,   719.41
  357.28,   476.77,   844.24
  351.83,   596.82,   591.83
  355.60,   599.22,   716.81
  359.39,   601.76,   841.79
  353.99,   721.79,   589.38
  357.66,   724.18,   714.31
  361.49,   726.56,   839.27
  100.41,   599.58,    98.58
   98.93,   597.48,   223.56
   97.45,   595.30,   348.58
   99.25,   724.56,   100.70
   97.73,   722.43,   225.65
   96.31,   720.30,   350.69
   98.07,   849.48,   102.78
   96.48,   847.45,   227.76
   95.21,   845.21,   352.71
  225.45,   600.78,   100.07
  223.90,   598.63,   225.03
  222.42,   596.53,   350.02
  224.15,   725.65,   102.18
  222.73,   723.58,   227.14
  221.27,   721.48,   352.19
  222.98,   850.76,   104.25
  221.51,   848.56,   229.22
  220.15,   846.50,   354.38
  350.47,   601.89,   101.55
  348.87,   599.73,   226.51
  347.43,   597.67,   351.55
  349.12,   726.84,   103.60
  347.73,   724.72,   228.68
  346.23,   722.73,   353.67
  348.00,   851.62,   105.63
  346.54,   849.66,   230.78
  345.02,   847.74,   355.66
   98.11,   599.62,   225.44
   98.73,   597.74,   350.47
   99.39,   595.98,   475.48
   96.51,   724.56,   227.25
   97.19,   722.75,   352.30
   97.74,   721.04,   477.16
   94.89,   849.56,   229.08
   95.69,   847.65,   354.05
   96.04,   845.91,   478.87
  223.08,   601.21,   224.83
  223.70,   599.41,   349.82
  224.34,   597.63,   474.85
  221.53,   726.16,   226.66
  222.15,   724.36,   351.72
  222.76,   722.43,   476.56
  219.89,   851.14,   228.44
  220.65,   849.37,   353.62
  221.07,   847.46,   478.38
  348.06,   602.73,   224.21
  348.71,   600.98,   349.27
  349.34,   599.21,   474.24
  346.52,   727.71,   226.09
  347.12,   726.03,   351.11
  347.72,   724.07,   475.96
  344.91,   852.63,   227.90
  345.50,   851.05,   352.81
  346.17,   848.98,   477.74
  100.00,   599.57,   351.54
  101.10,   601.06,   476.55
  102.08,   602.51,   601.54
  103.04,   724.56,   350.06
  104.03,   726.07,   474.92
  105.14,   727.42,   600.01
  106.12,   849.55,   348.68
  106.98,   851.11,   473.62
  108.32,   852.42,   598.65
  224.94,   596.59,   350.47
  226.01,   598.09,   475.49
  227.01,   599.53,   600.45
  228.00,   721.54,   349.08
  229.05,   722.86,   473.90
  230.12,   724.40,   599.07
  231.12,   846.52,   347.65
  231.98,   847.81,   472.37
  233.20,   849.44,   597.63
  349.92,   593.53,   349.49
  350.98,   595.02,   474.47
  351.98,   596.44,   599.36
  352.95,   718.57,   348.04
  353.97,   719.88,   472.90
  355.09,   721.42,   597.98
  355.94,   843.58,   346.48
  357.07,   844.78,   471.45
  358.05,   846.43,   596.49
  100.76,   598.44,   474.67
   99.28,   596.30,   599.65
   97.86,   594.18,   724.55
  102.66,   723.46,   476.67
  101.31,   721.25,   601.73
   99.91,   719.16,   726.68
  104.56,   848.47,   478.91
  103.42,   846.15,   603.87
  101.73,   844.17,   728.88
  225.68,   596.48,   476.02
  224.21,   594.34,   600.97
  222.80,   592.16,   725.91
  227.68,   721.26,   478.06
  226.26,   719.24,   603.21
  224.89,   717.13,   728.04
  229.59,   846.23,   480.16
  228.40,   844.30,   605.44
  226.88,   842.06,   730.12
  350.68,   594.43,   477.40
  349.20,   592.28,   602.29
  347.83,   590.11,   727.34
  352.63,   719.29,   479.45
  351.26,   717.26,   604.50
  349.80,   715.00,   729.50
  354.70,   844.20,   481.62
  353.22,   842.35,   606.70
  351.78,   840.09,   731.70
   99.53,   601.97,   601.09
   96.13,   599.63,   725.95
   92.77,   597.24,   850.86
  100.24,   726.92,   603.37
   96.88,   724.63,   728.28
   93.61,   722.22,   853.09
  101.00,   851.81,   605.75
   97.37,   849.64,   730.65
   94.13,   847.17,   855.61
  224.43,   601.31,   604.41
  221.03,   598.88,   729.29
  217.65,   596.53,   854.34
  225.18,   726.20,   606.89
  221.80,   723.90,   731.66
  218.34,   721.58,   856.73
  225.91,   851.29,   609.30
  222.40,   848.74,   733.91
  218.99,   846.72,   859.22
  349.39,   600.53,   607.73
  346.04,   598.12,   732.76
  342.63,   595.89,   857.57
  350.15,   725.55,   610.21
  346.68,   723.05,   735.15
  343.33,   720.76,   859.85
  350.64,   850.55,   612.51
  347.32,   848.04,   737.52
  343.97,   845.75,   862.14
  224.31,   100.87,   101.65
  224.19,   101.78,   226.65
  224.13,   102.71,   351.63
  224.74,   225.81,   100.70
  224.73,   226.76,   225.74
  224.65,   227.69,   350.69
  225.41,   350.87,    99.77
  225.23,   351.78,   224.74
  225.19,   352.74,   349.79
  349.32,   100.32,   101.71
  349.21,   101.24,   226.70
  349.12,   102.18,   351.70
  349.73,   225.29,   100.81
  349.74,   226.28,   225.77
  349.65,   227.15,   350.77
  350.42,   350.33,    99.81
  350.27,   351.18,   224.78
  350.19,   352.18,   349.84
  474.28,    99.80,   101.80
  474.19,   100.74,   226.82
  474.12,   101.63,   351.78
  474.74,   224.78,   100.85
  474.73,   225.73,   225.91
  474.64,   226.64,   350.84
  475.40,   349.76,    99.92
  475.23,   350.66,   224.92
  475.17,   351.67,   349.92
  226.57,   100.26,   224.10
  226.64,    96.91,   349.06
  226.69,    93.60,   474.02
  228.36,   225.18,   227.48
  228.41,   221.82,   352.39
  228.47,   218.44,   477.32
  230.09,   350.14,   230.76
  230.18,   346.82,   355.78
  230.24,   343.52,   480.72
  351.58,    98.47,   223.96
  351.64,    95.15,   348.94
  351.75,    91.89,   473.93
  353.35,   223.47,   227.35
  353.39,   220.06,   352.28
  353.47,   216.68,   477.27
  355.10,   348.32,   230.63
  355.16,   345.04,   355.64
  355.23,   341.72,   480.59
  476.55,    96.71,   223.89
  476.61,    93.39,   348.84
  476.76,    90.11,   473.80
  478.33,   221.71,   227.28
  478.37,   218.31,   352.18
  478.45,   214.96,   477.13
  480.06,   346.57,   230.57
  480.14,   343.30,   355.52
  480.22,   339.96,   480.48
  223.44,   100.28,   352.00
  222.60,    99.26,   476.99
  221.74,    98.23,   601.97
  220.90,   225.23,   352.99
  220.07,   224.19,   477.96
  219.28,   223.13,   603.01
  218.38,   350.27,   354.05
  217.55,   349.27,   479.04
  216.66,   348.25,   604.00
  348.40,   102.79,   352.84
  347.57,   101.78,   477.85
  346.74,   100.73,   602.82
  345.88,   227.75,   353.86
  345.06,   226.71,   478.87
  344.22,   225.73,   603.86
  343.35,   352.74,   354.87
  342.53,   351.75,   479.85
  341.65,   350.69,   604.79
  473.37,   105.29,   353.70
  472.53,   104.25,   478.68
  471.68,   103.24,   603.67
  470.84,   230.29,   354.71
  470.03,   229.27,   479.71
  469.19,   228.23,   604.71
  468.32,   355.29,   355.72
  467.50,   354.26,   480.71
  466.65,   353.19,   605.71
  225.98,   101.06,   473.20
  224.66,    99.88,   598.17
  223.37,    98.71,   723.16
  223.71,   225.99,   474.32
  222.45,   224.80,   599.36
  221.11,   223.65,   724.34
  221.46,   351.08,   475.53
  220.10,   349.91,   600.48
  218.81,   348.68,   725.46
  350.94,   103.30,   474.52
  349.64,   102.11,   599.50
  348.34,   100.93,   724.49
  348.71,   228.25,   475.69
  347.40,   227.12,   600.68
  346.13,   225.99,   725.66
  346.44,   353.28,   476.81
  345.08,   352.08,   601.75
  343.82,   350.82,   726.78
  475.90,   105.50,   475.82
  474.58,   104.34,   600.82
  473.31,   103.21,   725.82
  473.67,   230.55,   476.99
  472.36,   229.34,   601.99
  471.03,   228.14,   726.98
  471.40,   355.53,   478.14
  470.08,   354.32,   603.13
  468.78,   353.17,   728.10
  224.72,    99.15,   598.17
  222.02,    96.97,   723.13
  219.35,    94.80,   848.08
  227.98,   224.02,   600.46
  225.24,   221.86,   725.40
  222.48,   219.62,   850.34
  231.11,   349.09,   602.70
  228.42,   346.82,   727.64
  225.73,   344.64,   852.61
  349.68,    95.91,   600.82
  346.96,    93.64,   725.78
  344.19,    91.46,   850.76
  352.89,   220.83,   603.12
  350.21,   218.69,   728.07
  347.53,   216.46,   852.97
  356.04,   345.76,   605.31
  353.37,   343.48,   730.30
  350.66,   341.39,   855.32
  474.60,    92.63,   603.47
  471.91,    90.48,   728.44
  469.23,    88.28,   853.42
  477.81,   217.56,   605.76
  475.08,   215.32,   730.72
  472.29,   213.09,   855.60
  481.01,   342.48,   608.01
  478.28,   340.33,   732.95
  475.58,   338.12,   857.94
  225.41,   226.72,   101.90
  228.00,   229.60,   226.88
  230.52,   232.46,   351.78
  221.78,   351.67,    99.11
  224.21,   354.52,   224.03
  226.76,   357.42,   349.02
  217.84,   476.56,    96.33
  220.50,   479.42,   221.32
  223.00,   482.30,   346.16
  350.33,   230.42,    99.32
  352.93,   233.34,   224.22
  355.44,   236.16,   349.17
  346.71,   355.38,    96.47
  349.16,   358.16,   221.38
  351.68,   361.09,   346.37
  342.72,   480.17,    93.69
  345.41,   483.14,   218.71
  347.90,   485.95,   343.56
  475.25,   234.12,    96.65
  477.82,   236.99,   221.64
  480.34,   239.88,   346.55
  471.60,   359.05,    93.89
  474.05,   361.87,   218.81
  476.60,   364.81,   343.75
  467.67,   484.02,    91.10
  470.34,   486.93,   216.08
  472.84,   489.73,   340.93
  224.02,   226.72,   223.24
  221.91,   229.96,   348.14
  219.84,   233.20,   473.06
  226.07,   351.69,   219.97
  224.01,   354.95,   344.96
  221.94,   358.21,   469.91
  228.20,   476.60,   216.86
  226.08,   479.86,   341.69
  224.04,   482.99,   466.66
  348.98,   224.75,   225.33
  346.89,   227.92,   350.27
  344.83,   231.16,   475.23
  351.06,   349.58,   222.06
  348.97,   352.89,   347.07
  346.90,   356.14,   472.00
  353.16,   474.61,   219.00
  351.03,   477.78,   343.83
  349.00,   480.96,   468.85
  473.94,   222.70,   227.52
  471.84,   225.90,   352.40
  469.79,   229.16,   477.34
  475.99,   347.56,   224.25
  473.93,   350.89,   349.19
  471.87,   354.12,   474.14
  478.13,   472.67,   221.10
  476.02,   475.84,   345.96
  473.96,   479.04,   470.96
  226.57,   224.66,   349.65
  227.92,   222.34,   474.60
  229.31,   219.99,   599.62
  227.57,   349.70,   352.00
  228.92,   347.42,   476.96
  230.22,   345.12,   601.90
  228.55,   474.63,   354.23
  229.94,   472.20,   479.23
  231.31,   469.93,   604.23
  351.56,   223.71,   348.29
  352.93,   221.36,   473.29
  354.28,   219.09,   598.26
  352.56,   348.70,   350.60
  353.91,   346.41,   475.57
  355.21,   344.07,   600.48
  353.53,   473.62,   352.88
  354.91,   471.26,   477.91
  356.26,   469.04,   602.88
  476.54,   222.76,   346.93
  477.90,   220.44,   471.90
  479.25,   218.12,   596.89
  477.54,   347.76,   349.23
  478.91,   345.46,   474.20
  480.23,   343.09,   599.17
  478.53,   472.74,   351.51
  479.89,   470.39,   476.53
  481.24,   468.13,   601.50
  226.91,   223.74,   475.56
  230.26,   225.99,   600.55
  233.55,   228.30,   725.47
  229.80,   348.79,   473.27
  233.07,   351.05,   598.17
  236.41,   353.24,   723.10
  232.71,   473.54,   470.90
  236.06,   475.84,   595.87
  239.38,   478.18,   720.83
  351.85,   220.78,   472.34
  355.16,   223.09,   597.28
  358.50,   225.40,   722.21
  354.74,   345.81,   469.98
  358.00,   348.03,   594.87
  361.34,   350.21,   719.84
  357.62,   470.62,   467.69
  360.95,   472.98,   592.63
  364.28,   475.29,   717.57
  476.76,   217.87,   469.06
  480.08,   220.13,   594.01
  483.37,   222.37,   718.94
  479.66,   342.86,   466.72
  482.95,   345.07,   591.66
  486.26,   347.36,   716.58
  482.54,   467.77,   464.40
  485.86,   470.07,   589.35
  489.18,   472.33,   714.27
  223.85,   222.98,   599.03
  223.93,   224.04,   724.03
  223.99,   225.04,   849.01
  226.99,   348.08,   597.99
  227.11,   349.03,   722.98
  227.26,   350.05,   847.99
  230.31,   472.88,   596.99
  230.41,   473.99,   722.00
  230.49,   474.96,   846.97
  348.79,   219.83,   598.96
