150 PA5-B-Debug-Output.txt
       111.3214      -131.8317        15.5130      -166.1757       105.2788        80.0208
    21.71    20.30    26.51    21.90    20.04    26.43    0.329
    -5.11    -8.83   -35.47    -5.27    -8.98   -35.52    0.232
   -44.47    -7.73   -10.04   -44.33    -7.83   -10.12    0.196
    17.19    23.95   -14.27    16.65    23.51   -14.78    0.864
   -17.83    -5.84    -1.17   -17.70    -5.85    -1.38    0.239
    -0.33    -8.71    41.73    -0.04    -8.98    41.86    0.412
    25.88   -14.75    -7.65    25.28   -14.57    -7.76    0.635
   -14.81     4.25   -13.03   -15.00     4.31   -13.10    0.216
     6.56    -2.71    64.80     6.49    -2.70    64.76    0.080
    22.91    20.87   -20.56    22.75    21.01   -20.79    0.315
   -41.49   -12.22    -5.60   -41.62   -12.26    -5.48    0.182
    19.44    15.37    42.93    19.43    15.37    42.93    0.009
    43.83     2.10    -0.89    44.00     2.06    -1.04    0.229
     8.55     1.77   -26.55     8.53     1.85   -25.87    0.687
    13.90     3.95    66.49    12.49     4.20    65.88    1.557
    41.09    13.78    -3.79    40.68    12.66    -3.97    1.200
    -7.90     3.38    65.24    -8.37     3.31    65.40    0.501
   -24.38     9.18   -16.13   -24.41     9.07   -16.20    0.134
   -33.41   -10.35   -42.33   -33.91   -10.34   -42.87    0.740
    13.86    22.25    16.25    13.89    22.34    16.24    0.090
    35.60    20.51     6.17    36.00    20.80     6.36    0.530
    -6.51    -8.70    67.93    -6.51    -8.70    67.92    0.007
     5.12     6.22   -25.20     5.00     6.06   -24.77    0.478
   -43.99   -18.70   -19.64   -43.72   -18.38   -19.75    0.440
   -12.86   -11.86   -42.98   -13.55   -11.55   -42.83    0.768
    32.81    -4.04   -15.02    32.86    -4.25   -15.02    0.213
    42.65    -0.56   -11.37    41.80    -0.37   -11.24    0.884
     1.09     3.23   -28.29     0.29     3.25   -27.54    1.096
    39.14     2.97     9.74    39.26     2.86     9.81    0.181
    39.04    17.73    -1.56    38.58    17.50    -1.64    0.517
   -43.05   -19.92   -29.72   -43.33   -20.26   -29.76    0.434
    -8.60    -4.19    41.50    -8.49    -4.16    41.49    0.119
    22.70     3.81    19.64    23.14     3.67    19.91    0.540
   -42.81    -8.26    -6.35   -42.52    -8.47    -6.53    0.397
    -6.45   -21.59   -10.89    -6.46   -21.58   -10.91    0.024
    24.60    16.06   -27.26    24.74    16.00   -27.22    0.153
    -6.54     9.78    23.40    -7.38     9.79    23.34    0.842
   -29.66   -32.71   -18.53   -29.46   -31.75   -18.50    0.986
   -22.73   -33.52   -22.17   -22.75   -33.01   -22.24    0.513
   -45.24    -7.56   -36.18   -45.34    -7.45   -36.18    0.150
   -33.72   -29.93   -14.45   -33.83   -30.07   -14.45    0.188
     2.04    20.45     4.56     2.64    20.10     4.69    0.704
   -19.42   -32.35   -31.65   -19.34   -32.47   -31.80    0.201
    -4.02     8.37    15.54    -4.17     8.36    15.56    0.151
     5.05   -10.77   -24.07     5.15   -10.91   -24.13    0.182
     3.85   -13.73    -6.09     3.67   -14.16    -6.29    0.507
    15.29    12.56    52.60    15.25    12.56    52.60    0.037
   -21.58    -7.66    -2.50   -21.20    -7.81    -3.31    0.910
   -27.09     9.06   -15.35   -27.03     8.73   -15.39    0.340
    33.24    10.12   -36.86    32.79    10.39   -36.22    0.828
    10.57    11.56    70.93    10.55    11.58    70.84    0.093
    -6.07    -8.86    66.16    -6.12    -9.13    66.27    0.292
    14.65    -7.29     8.12    14.75    -7.15     8.25    0.219
    -6.69    10.36    30.40    -6.50    10.28    30.38    0.204
    17.62    10.80    44.76    17.41    10.84    44.73    0.219
    -2.76   -11.50   -32.63    -2.58   -11.12   -32.64    0.426
   -41.01   -19.13    -7.57   -41.19   -19.18    -7.53    0.189
    23.49    11.50    24.75    22.89    11.66    24.43    0.694
    32.38    21.63    12.41    32.28    21.59    12.40    0.110
    -1.29   -12.57    -3.20    -1.28   -12.48    -3.21    0.097
    -2.13     9.37    11.99    -2.27     9.32    11.79    0.245
   -22.08   -30.34   -12.10   -22.23   -31.43   -11.71    1.172
    40.63    -1.84   -11.56    40.49    -1.56   -11.56    0.314
   -36.14    -7.15    -3.51   -36.14    -7.09    -3.40    0.129
    34.92    26.15   -19.03    35.45    26.48   -18.98    0.622
    -6.51    -7.39    39.62    -6.38    -7.28    39.63    0.170
    -5.72     4.87    23.97    -5.16     4.71    23.94    0.586
    -5.66    -7.55   -39.07    -6.08    -7.71   -39.00    0.457
     9.13    22.80    19.76     9.05    22.32    19.58    0.525
   -29.41   -27.67   -36.73   -29.37   -27.42   -36.57    0.300
    -8.16   -26.05   -12.35    -7.97   -26.20   -12.19    0.296
     8.03    14.14   -12.75     8.30    13.83   -12.59    0.447
     7.14     7.93    69.58     7.26     8.13    69.11    0.526
   -16.94   -15.40    -2.59   -16.97   -15.46    -2.48    0.127
    16.20     5.69    49.41    16.50     5.62    49.44    0.316
    -5.35    13.99    29.02    -5.35    13.99    29.03    0.008
    43.50     5.32     1.24    44.26     5.44     1.33    0.778
    -9.52   -27.22   -31.78    -9.21   -27.16   -32.11    0.460
    41.00     0.03   -21.28    40.08     0.11   -20.77    1.050
    26.95    -7.25    11.65    27.00    -7.35    11.77    0.157
    -0.22    18.05     6.98    -0.09    17.86     6.95    0.230
    15.36    25.18   -12.72    15.92    25.10   -12.60    0.576
    26.92    11.02    18.19    27.02    10.99    18.26    0.130
    -7.52     3.40    67.88    -7.51     3.39    67.88    0.010
    11.73    13.59    65.63    12.18    13.68    65.68    0.459
   -11.82     5.88   -34.42   -11.92     5.81   -34.37    0.136
    -7.90   -28.43   -24.83    -7.78   -28.69   -24.93    0.308
   -14.64     6.56   -31.59   -14.63     6.60   -31.62    0.051
    -3.70     1.33    68.95    -3.97     1.11    68.54    0.534
    44.03     3.69   -10.23    43.75     3.76   -10.07    0.325
   -31.99   -18.09   -42.89   -32.42   -18.27   -43.38    0.674
    34.00    26.99   -22.34    34.25    27.71   -22.38    0.766
   -33.65   -20.79    -3.85   -33.93   -20.86    -3.69    0.326
   -26.79     8.24   -28.71   -26.95     8.60   -28.81    0.408
