400 PA5-E-Debug-Output.txt
      -126.3019       180.3262        17.7535      -121.0306        20.0874      -139.8462
    18.11    -2.77    20.39    18.35    -3.30    20.36    0.580
    18.67     8.48   -19.56    18.69     8.14   -19.68    0.355
    -9.38   -17.29    -7.43    -9.54   -17.01    -7.81    0.504
   -43.93   -16.66   -21.45   -44.04   -16.67   -21.44    0.114
    -5.94    -3.70     8.23    -5.88    -3.48     8.04    0.298
    15.33   -12.95   -12.61    15.33   -13.00   -12.63    0.056
     5.88   -11.43     9.98     5.92   -11.23     9.98    0.203
    -2.60   -12.32   -32.39    -2.61   -12.35   -32.37    0.040
    26.71    20.87     0.55    26.40    20.83     0.45    0.325
    21.63    14.94    24.62    21.33    14.92    24.53    0.311
    12.29    22.45     2.26    12.03    22.62     2.33    0.322
     9.15   -10.85   -18.29     9.82   -10.99   -18.74    0.820
   -20.81   -34.57   -33.57   -20.77   -34.65   -33.58    0.082
   -18.13    13.83   -31.12   -18.00    14.04   -31.09    0.240
    -7.92   -30.33   -20.71    -8.10   -29.55   -20.78    0.802
    -0.29    -6.67    14.79    -0.40    -6.96    14.83    0.314
    18.07    26.41    22.82    18.29    27.11    23.00    0.751
   -40.66    -0.46   -46.40   -40.72    -0.42   -46.50    0.124
     0.34    17.03    18.38     0.35    16.94    18.38    0.094
    33.27     9.31   -14.36    32.94     9.68   -14.14    0.543
    20.07    -3.12   -17.71    20.08    -3.13   -17.70    0.014
    25.24    -2.93     5.34    25.07    -2.96     5.40    0.176
   -34.81   -17.94   -55.52   -34.38   -17.94   -55.06    0.628
    26.89    -0.43   -26.89    26.91    -0.44   -26.89    0.016
    18.49    21.42    36.41    17.86    21.37    36.28    0.652
    31.96     5.45    -0.59    31.04     5.84    -0.74    1.016
    -2.28   -21.52   -37.34    -2.35   -21.50   -37.26    0.108
    16.55    17.98    50.69    16.37    17.85    50.75    0.230
   -43.73   -21.11   -25.90   -43.62   -21.06   -25.91    0.118
    18.83    25.00    -9.89    18.88    25.21   -10.11    0.307
   -12.83    11.72   -26.16   -12.84    11.47   -26.19    0.257
    14.00    24.49    26.31    14.24    24.21    26.19    0.380
   -33.77   -32.84   -27.78   -34.03   -33.68   -27.63    0.884
    -2.48    11.01    42.40    -2.84    11.04    42.30    0.380
    28.28    18.22   -14.62    28.30    18.18   -14.60    0.047
   -16.25     9.45   -21.15   -16.25     9.56   -21.13    0.106
   -15.08    -5.51    -3.92   -15.05    -5.49    -3.94    0.042
    21.82    -3.84     8.90    22.50    -4.23     9.18    0.831
    21.70     0.51    20.28    21.32     0.57    20.20    0.392
    -6.42     1.93     9.80    -5.98     1.96     9.39    0.611
    -4.75   -11.65     0.80    -4.70   -11.83     1.17    0.409
    18.84    -8.28    11.53    18.90    -8.55    11.62    0.298
   -41.49   -12.88   -50.67   -41.90   -12.84   -50.83    0.445
    18.47    26.33     0.01    18.51    25.65     0.09    0.685
    15.33    25.61    22.55    15.43    25.58    22.54    0.105
    16.43     9.33   -10.09    16.78     9.50   -10.05    0.391
    20.45     8.01    33.96    20.83     8.10    34.05    0.403
    -8.40    16.83    25.36    -8.70    17.16    24.35    1.104
    12.86     4.61   -12.84    12.87     4.80   -13.04    0.271
   -14.55   -26.37   -12.16   -14.52   -26.45   -12.20    0.096
   -14.56     3.31   -51.04   -14.45     3.32   -51.13    0.144
     0.91    13.59    51.07     0.73    13.62    51.06    0.187
    16.38    -3.06    24.62    16.50    -3.62    24.74    0.584
    27.27    -1.08     7.18    27.55    -1.48     7.28    0.493
     1.87    -5.94    16.42     1.99    -5.88    16.53    0.171
   -23.52    -1.99   -10.72   -23.78    -1.80   -10.06    0.734
    12.32    22.57     2.18    12.07    22.73     2.24    0.299
   -23.11    -7.22   -57.31   -22.81    -7.63   -56.05    1.362
    -0.68    -0.14    20.70    -0.37    -0.11    20.74    0.317
    17.32    24.20    29.72    17.10    24.12    29.62    0.256
    32.46    11.67    -4.30    32.78    11.74    -4.30    0.322
   -19.43   -33.36   -39.45   -19.53   -33.17   -39.42    0.212
    13.51    22.10    -2.46    13.65    22.17    -2.44    0.155
    -2.05   -17.92   -31.79    -2.04   -17.93   -31.78    0.012
     8.68   -14.42   -16.68     8.48   -14.43   -16.57    0.223
    23.59     4.84   -24.31    23.80     3.82   -25.33    1.463
   -43.71   -20.92   -25.49   -43.68   -20.91   -25.50    0.032
    14.69    16.26   -19.50    15.48    16.34   -19.57    0.796
     2.76    -7.57    13.04     3.32    -8.32    13.44    1.026
   -20.88   -16.29    -9.38   -20.86   -16.28    -9.39    0.024
     7.24   -18.21   -19.09     7.58   -18.19   -19.18    0.349
    30.31     9.66   -21.07    30.24     9.18   -20.72    0.605
     4.65   -17.79   -24.87     4.91   -17.72   -24.96    0.284
     4.15    -2.55    39.48     4.15    -2.42    39.48    0.130
   -19.73    12.56   -43.04   -19.63    12.76   -43.16    0.263
    19.44    22.68    31.44    19.28    22.80    31.53    0.216
    18.88    14.89    39.54    19.69    15.32    39.25    0.959
    30.49     3.84   -26.99    30.31     3.76   -26.98    0.197
    15.02     5.82   -12.58    15.02     5.56   -12.31    0.384
   -33.31   -20.65   -12.46   -33.59   -20.91   -12.25    0.443
     0.24     0.73    42.92     0.74     1.52    42.84    0.933
    24.73    17.57    13.63    24.61    17.59    13.63    0.114
    22.82    12.97    21.21    22.69    12.95    21.20    0.123
   -44.80   -12.35   -21.20   -44.12   -12.31   -21.17    0.674
    27.12     3.49    11.50    27.13     3.42    11.60    0.116
    32.82     9.13    -3.73    32.74     9.15    -3.74    0.077
   -36.46     7.83   -42.74   -36.45     7.85   -42.76    0.028
   -19.17   -24.57   -11.00   -19.13   -24.50   -10.58    0.424
    18.71    14.33    39.95    19.95    14.99    39.51    1.480
    -1.16   -25.29    -9.05    -1.19   -25.39    -9.18    0.169
    -3.16    -5.75    10.30    -3.25    -5.82    10.31    0.117
    19.21     9.32    58.12    19.12     9.25    58.10    0.122
    -0.97     6.61    56.18    -1.47     7.03    56.21    0.653
     5.27    -0.49    61.35     5.25    -0.44    62.35    1.004
    -0.04    11.70    52.47     0.75    11.72    52.31    0.805
    -4.65     7.36    22.73    -4.72     7.27    22.80    0.130
     6.09    -3.42    45.14     6.66    -2.93    45.12    0.753
   -35.81   -19.07   -54.11   -35.54   -18.77   -53.84    0.488
   -40.02     0.57   -47.40   -40.19     0.59   -47.46    0.185
    -7.33   -26.23    -9.61    -7.26   -26.27    -9.74    0.147
   -24.99   -33.96   -27.58   -24.99   -33.74   -27.58    0.226
   -10.35    15.93    37.26    -9.89    15.84    37.09    0.499
   -20.41   -18.90   -56.06   -20.93   -18.69   -56.46    0.695
   -37.20   -31.49   -31.72   -37.76   -31.89   -31.58    0.696
    23.23    14.23   -22.26    23.13    14.15   -22.02    0.278
    -5.00     4.14   -21.27    -4.17     4.78   -21.88    1.213
   -36.56   -11.41   -11.04   -36.63   -11.43   -11.04    0.068
    15.97    10.83    58.82    15.93    10.66    58.29    0.557
     0.15   -23.63   -32.42    -0.41   -23.44   -32.08    0.686
    22.06    -2.25   -20.23    22.05    -2.30   -20.25    0.061
    -2.10   -20.80    -8.65    -2.01   -20.60    -9.21    0.592
     9.52    -4.68    51.78     9.51    -4.49    51.78    0.189
    22.23    25.88     9.66    22.72    26.67     9.75    0.933
   -38.95   -22.19   -17.27   -38.32   -21.99   -18.00    0.981
     4.27    16.90    14.72     4.28    16.87    14.72    0.027
     3.68   -23.33   -25.57     3.74   -23.38   -25.60    0.082
    14.30    23.76    38.71    14.79    23.40    39.03    0.683
     8.64    -4.49    57.11     8.51    -5.23    56.94    0.773
   -17.17   -33.26   -38.84   -17.52   -32.25   -38.68    1.083
    -9.59    19.60    33.14    -9.67    19.74    33.18    0.158
    13.80    -5.41    24.79    14.14    -6.11    24.95    0.790
    -1.20     8.26    55.16    -0.79     7.92    55.14    0.530
    18.03   -15.61    -6.00    18.08   -15.34    -5.90    0.288
    20.33    18.34    31.10    20.06    18.32    31.45    0.441
    32.69    11.32   -16.08    32.67    11.31   -15.93    0.153
    -5.16     6.43    -5.81    -5.31     6.36    -5.66    0.228
   -21.73   -29.43   -16.41   -21.56   -29.23   -16.70    0.396
   -26.76     6.76   -16.77   -26.76     6.73   -16.83    0.075
     6.81    20.74    24.55     7.08    20.22    24.44    0.601
    14.20    -2.33    47.08    14.42    -2.54    47.12    0.314
    15.57    24.83    39.28    15.84    25.40    39.12    0.652
   -15.57     4.39   -11.86   -15.51     4.55   -11.90    0.177
   -12.71   -30.29   -20.65   -12.62   -30.95   -20.44    0.692
    20.51     8.52    29.91    21.02     8.72    30.14    0.596
     9.04    20.85    10.87     8.95    20.91    10.82    0.123
    17.28     6.95   -18.39    17.29     6.93   -18.37    0.027
     7.41   -15.45   -19.15     7.35   -15.46   -19.13    0.063
   -11.45   -18.31    -7.99   -11.43   -18.34    -7.96    0.043
    16.75    25.45    39.13    16.75    25.46    39.13    0.002
   -35.96   -32.28   -29.56   -36.29   -32.67   -29.42    0.528
   -11.60   -12.47    -4.27   -11.06   -12.04    -4.60    0.762
    19.38    -8.86   -13.70    19.23    -8.85   -13.63    0.170
    24.02    -2.92   -21.83    24.30    -2.57   -21.55    0.526
    21.76    23.24   -13.35    21.70    23.10   -13.32    0.158
    22.43   -10.39    -4.77    22.87   -10.74    -4.80    0.557
    20.35   -10.79     2.84    20.34   -10.79     2.84    0.011
   -38.24     3.32   -18.13   -38.27     3.42   -18.06    0.130
    -3.25   -18.58   -35.85    -2.97   -18.31   -35.97    0.405
   -42.14    -7.98   -14.92   -42.21    -7.94   -14.89    0.083
    -2.58    11.28    42.38    -2.83    11.30    42.32    0.255
     6.91   -15.66   -20.16     7.07   -15.66   -20.19    0.168
     4.61    -6.29    21.34     4.41    -6.78    21.27    0.537
     5.22   -21.55   -24.62     5.49   -21.70   -24.74    0.333
   -45.54    -9.40   -23.10   -44.94    -9.34   -23.41    0.681
   -31.02     9.33   -21.48   -31.10     9.47   -21.41    0.176
    20.95    13.91    28.14    21.57    13.85    28.02    0.641
   -29.10   -28.37   -14.16   -29.57   -27.76   -14.47    0.831
    -6.19     2.87    10.17    -5.73     2.91     9.73    0.637
   -41.97    -3.38   -17.63   -41.96    -3.33   -17.59    0.063
    -1.28    15.56    17.98    -1.46    15.87    17.64    0.502
    -9.14     6.64   -10.39    -8.91     6.00   -10.52    0.688
   -20.31   -34.12   -29.93   -20.52   -34.61   -29.80    0.547
     0.34    12.88    52.09     0.68    12.89    52.02    0.354
     9.01    -4.62    37.67     8.94    -4.67    37.70    0.089
     1.99     8.64    60.30     1.83     8.61    60.89    0.615
    20.43    25.88    -1.06    20.32    25.67    -1.12    0.252
   -10.01    -2.45     3.51   -10.18    -2.55     3.76    0.309
   -28.55     8.41   -45.44   -28.50     7.63   -44.91    0.943
    -3.20   -21.63    -9.60    -3.19   -21.63    -9.66    0.061
     5.37    -3.55   -21.41     5.39    -3.84   -21.44    0.286
    -0.51     5.00    45.12    -0.64     5.11    45.04    0.194
   -14.57   -23.53   -50.47   -14.31   -23.95   -50.66    0.525
   -35.00   -10.58   -11.10   -34.85   -10.58   -11.88    0.791
    -6.16    15.76    24.13    -6.18    15.84    23.69    0.443
    16.50    -4.90   -18.40    16.19    -4.77   -18.17    0.415
    30.71     0.47     1.63    30.60     0.52     1.65    0.126
    26.83    12.80     7.74    26.44    12.60     7.60    0.455
   -33.52     6.28   -47.43   -33.59     6.07   -47.47    0.224
    14.28    -2.94    55.53    14.28    -2.95    55.53    0.011
     9.69    19.34     6.27     9.88    19.23     6.35    0.234
    12.52    -3.17    44.75    12.30    -3.48    44.75    0.376
    20.66    12.82    28.89    21.59    12.72    28.62    0.970
     1.06    16.77    17.78     1.06    16.90    17.77    0.126
   -35.02   -26.09   -17.84   -34.91   -26.12   -17.80    0.118
   -19.22   -14.41    -8.10   -19.36   -14.58    -7.60    0.549
    -1.49    11.51    43.78    -1.64    11.57    43.68    0.194
    23.23     0.68    16.74    22.70     0.96    16.10    0.876
    17.81     0.85    57.43    18.06     0.75    57.21    0.346
    31.95     7.49   -15.89    31.78     7.45   -15.83    0.184
    26.53    17.68     7.19    25.75    17.61     6.80    0.871
    -2.06    21.76    41.27    -1.71    21.41    41.25    0.494
   -10.95   -29.01   -38.71   -10.45   -29.47   -38.80    0.680
    17.19    25.11    37.61    17.17    25.36    37.56    0.247
    10.20    14.70     2.95    10.28    14.42     2.97    0.298
   -22.69   -26.27   -52.95   -22.63   -26.23   -52.78    0.180
    -3.04   -21.01   -37.96    -3.00   -21.04   -38.00    0.065
    13.90    25.17     4.12    13.83    25.28     4.11    0.126
    -0.81     1.24    25.79    -0.96     1.27    25.77    0.160
    18.45     2.68    49.27    18.93     2.70    49.19    0.487
    22.91    21.79    19.18    23.02    21.78    19.24    0.124
   -24.06   -31.03   -45.50   -24.05   -31.00   -45.49    0.032
   -17.91    14.29   -32.69   -17.93    14.24   -32.70    0.061
     2.72   -21.17    -8.60     2.67   -21.34    -8.53    0.188
    23.32    20.63   -16.99    23.44    20.74   -17.04    0.172
    10.65    -4.00    41.71    10.13    -3.52    41.68    0.711
    13.31    -1.07   -19.37    13.37    -1.13   -19.67    0.319
   -35.65    -6.82   -55.69   -34.88    -7.90   -54.36    1.882
     3.39    17.61    44.24     3.59    17.45    43.98    0.365
    17.14    15.89    52.09    16.66    15.82    51.77    0.581
    -0.78    -4.21    15.91    -0.40    -4.05    15.63    0.502
   -24.09     5.17   -15.79   -23.90     5.28   -15.28    0.550
   -34.86     9.81   -39.40   -34.92    10.15   -39.47    0.351
    16.30     4.93   -18.59    15.81     5.02   -18.78    0.528
     3.44   -26.35   -14.23     3.34   -25.89   -14.21    0.466
    19.20    23.25    31.44    19.39    23.11    31.33    0.261
   -14.83   -32.53   -28.10   -14.85   -32.44   -28.10    0.094
    27.96    -2.12     2.33    27.82    -1.93     2.35    0.235
   -42.11   -23.06   -33.55   -42.01   -22.98   -33.54    0.134
    10.20     4.41    60.36    10.21     4.41    60.35    0.012
    -9.51    -0.73   -43.18    -9.72    -0.77   -43.10    0.224
    14.63    24.11    36.22    14.69    23.17    35.27    1.339
   -18.70     7.54   -17.60   -18.71     7.61   -17.54    0.089
   -11.24    13.61    36.00   -11.20    13.59    35.97    0.055
     0.79    21.42    26.67     0.72    21.58    26.62    0.180
   -21.30   -34.66   -38.38   -21.46   -34.40   -38.31    0.307
     6.67    -2.19   -20.58     7.31    -2.60   -20.46    0.763
    19.02    26.93    19.50    18.81    26.50    19.76    0.539
   -35.48    -9.81   -56.23   -35.49   -10.01   -55.26    0.995
    15.36   -16.18    -5.86    15.16   -15.52    -5.52    0.768
    21.25    25.10    -6.43    21.52    25.59    -6.43    0.561
     2.36    15.02    50.79     2.23    15.23    50.75    0.254
    -4.84   -26.33    -8.67    -4.85   -26.34    -8.50    0.168
     9.79     9.23    62.12     9.78     9.23    62.14    0.026
    -0.24    -5.41   -27.99     0.02    -5.40   -28.14    0.298
    26.15    19.34     7.81    26.13    19.41     7.76    0.089
     8.57    20.18    35.60     8.26    20.79    35.64    0.683
   -28.30   -27.67   -49.40   -28.25   -27.66   -49.39    0.056
    23.80    13.77    17.16    23.19    13.69    17.07    0.622
    19.23    27.01     7.49    19.30    27.13     7.45    0.148
   -41.86     4.40   -36.16   -41.49     4.27   -36.13    0.396
     9.38    -3.95    48.44     9.40    -4.36    48.38    0.412
    14.95   -16.63    -1.12    15.00   -16.33    -1.16    0.305
   -21.94    13.57   -40.90   -21.93    13.57   -40.91    0.015
    11.51   -12.32    10.70    11.26   -11.64    10.42    0.785
    18.90     3.46    51.88    18.66     3.44    51.79    0.257
    17.20    27.13     3.80    17.20    27.16     3.78    0.033
    20.66     5.34    30.15    21.70     5.03    30.38    1.105
    19.23    24.59    24.82    19.07    24.47    24.82    0.197
   -34.99   -19.71   -11.92   -35.05   -19.51   -12.24    0.377
    -4.19   -23.88   -37.45    -4.21   -23.81   -37.40    0.089
    -2.50   -19.84   -35.98    -2.02   -19.29   -36.22    0.769
    13.10    -3.25    49.50    13.02    -3.53    49.51    0.291
    25.22    23.17     3.65    25.48    23.52     3.58    0.441
    32.74     7.41   -13.53    32.62     7.44   -13.44    0.150
   -16.89   -32.59   -40.94   -17.18   -31.65   -40.58    1.049
    11.32     6.06    60.03    11.34     6.11    59.79    0.239
    -4.82    -7.09     5.77    -4.04    -6.44     5.34    1.097
   -32.87   -23.84   -52.02   -32.37   -23.47   -51.54    0.784
    16.53     7.05   -18.31    16.53     7.07   -18.30    0.015
    22.17    -0.29    18.14    21.78    -0.46    17.92    0.476
   -12.39    13.88    34.71   -12.16    13.75    34.58    0.300
    -1.52   -10.74     3.77    -1.33   -10.53     3.52    0.385
   -19.93   -25.17   -11.36   -19.87   -25.58   -11.13    0.474
    31.17     2.57   -20.52    31.09     2.51   -20.52    0.095
   -17.13   -31.41   -21.57   -17.11   -31.62   -21.49    0.219
    16.94   -13.74     4.23    16.88   -13.53     4.02    0.301
   -37.58     4.59   -20.08   -37.81     5.06   -19.51    0.769
    20.65   -12.08    -7.86    20.61   -12.06    -7.84    0.052
    -2.15    -8.37     7.95    -2.05    -8.20     7.91    0.202
    -2.32     7.99     5.98    -2.73     8.50     5.89    0.654
    12.17    22.12     2.24    11.84    22.33     2.33    0.398
    -2.36     7.07     0.84    -2.04     7.63    -0.19    1.217
   -34.11     8.48   -22.23   -34.35     8.99   -22.21    0.568
    27.08     2.80   -26.59    27.52     2.31   -26.28    0.726
    -9.85   -23.62   -44.86    -9.81   -23.66   -44.87    0.059
     7.84    15.56     8.07     7.82    15.55     8.05    0.032
    30.57     1.30     3.26    30.45     1.39     3.17    0.181
   -33.66   -19.27   -55.12   -33.61   -19.23   -55.08    0.073
   -37.65     0.77   -14.71   -37.39     0.56   -15.31    0.687
   -31.21   -29.39   -17.36   -31.00   -29.14   -17.51    0.362
    27.32    13.21     5.97    26.90    13.01     5.82    0.493
     0.16   -26.17   -28.43     0.29   -26.24   -28.46    0.155
    13.39   -12.34     7.72    13.24   -12.06     7.63    0.333
   -35.37    -9.10   -11.80   -35.32    -9.11   -12.00    0.203
    15.70     4.60   -18.32    15.57     4.63   -18.42    0.172
    13.15    -2.53    40.85    12.38    -3.59    40.93    1.316
    15.20     4.14   -18.02    15.17     4.14   -18.05    0.043
    33.18    10.16   -14.54    33.20    10.13   -14.54    0.034
    -0.92     0.52    20.63    -0.44     0.57    20.69    0.478
     1.93     8.65    -1.25     1.77     9.13    -1.31    0.508
    32.06    12.87   -12.91    32.85    12.43   -12.36    1.055
     9.66    20.92    34.18     9.39    21.46    34.22    0.607
    19.98    10.35    38.61    20.22    10.12    38.53    0.346
     4.68   -11.86   -22.94     4.47   -11.89   -22.73    0.300
   -19.50   -24.45   -11.03   -19.46   -24.42   -10.56    0.474
     3.19    -5.45   -24.32     3.26    -5.43   -24.37    0.089
   -12.55   -23.35   -11.32   -12.45   -23.44   -11.09    0.258
