150 PA5-A-Debug-Output.txt
        23.1241       -95.9744       -23.5601        -1.0696        24.9768      -120.0789
    -5.48    -2.10    43.38    -5.73    -2.48    43.40    0.457
    -5.32     2.82   -30.32    -5.33     2.80   -30.30    0.026
    25.51    19.13    15.48    25.66    19.25    15.57    0.211
    15.34     1.70    62.85    15.27     1.68    62.64    0.217
    -5.11   -10.25   -37.30    -5.17   -10.25   -37.22    0.100
    18.35     8.51    61.35    17.84     8.26    61.24    0.585
   -12.38   -11.53   -45.69   -12.38   -11.53   -45.67    0.020
   -35.15     9.22   -15.92   -34.88     9.00   -15.95    0.356
    20.06     9.37    51.52    20.22     9.40    51.54    0.169
   -11.23     6.16    55.55   -11.80     7.00    55.64    1.019
   -14.73   -16.31   -46.40   -14.80   -16.21   -46.13    0.290
     6.98    22.98    12.48     7.02    22.90    12.46    0.087
   -13.48   -18.58   -44.71   -13.53   -18.55   -44.66    0.083
   -14.83     3.69    19.65   -15.39     3.31    19.77    0.680
   -20.58   -32.17   -16.27   -20.60   -31.87   -16.32    0.307
    24.81    26.36   -22.80    25.03    26.80   -22.82    0.492
    21.57    -0.62    37.95    21.27    -0.53    37.87    0.326
   -18.32   -31.69   -31.23   -18.20   -32.02   -31.29    0.356
   -18.58   -11.54   -48.42   -18.31   -11.90   -48.70    0.524
    31.81    22.21   -19.08    31.80    22.20   -19.08    0.014
    -0.87    -5.57    33.52    -0.74    -5.50    33.44    0.165
    17.96   -16.93   -16.87    17.86   -16.89   -16.99    0.169
    16.72   -18.44   -12.62    16.70   -18.60   -12.72    0.190
    33.75    -5.09     0.76    33.75    -5.09     0.77    0.005
    -8.50    17.87    36.81    -8.51    17.83    36.77    0.054
    -8.86    14.33    10.18    -8.85    14.43    10.22    0.110
   -17.64    16.88   -21.77   -17.67    16.70   -21.83    0.196
   -29.73   -21.58    -3.98   -29.65   -21.47    -4.08    0.166
    -7.50     8.19   -26.78    -7.59     8.05   -26.71    0.181
    35.10    14.27     8.70    35.05    14.25     8.64    0.084
     0.50    -6.75    53.97     0.21    -6.98    53.92    0.371
   -23.28     6.10    -9.33   -23.27     5.92   -10.00    0.694
    -2.52   -18.76   -34.67    -2.96   -18.55   -34.34    0.587
     6.75    -7.64    47.09     6.64    -8.00    47.08    0.383
    20.81    12.41    40.17    21.09    12.58    40.20    0.330
   -16.07     6.87    13.81   -16.41     6.63    13.63    0.457
   -10.15   -27.06   -34.15    -9.52   -27.42   -34.39    0.764
    26.67   -17.94   -10.21    26.84   -18.35   -10.17    0.449
   -24.49   -25.83   -40.43   -24.48   -25.75   -40.37    0.096
   -26.42   -15.88   -47.27   -26.45   -15.90   -47.34    0.075
    15.86    20.15    39.32    15.85    20.15    39.33    0.007
    -4.80   -14.93     0.07    -4.81   -14.89     0.01    0.076
    10.71   -12.46    13.10    10.58   -11.75    12.90    0.750
   -41.48    -8.28   -34.64   -41.00    -8.42   -34.66    0.500
    39.60     3.28     4.15    39.34     3.31     4.04    0.283
   -43.66    -7.42   -15.76   -43.67    -7.43   -15.75    0.023
    28.14    25.04   -10.89    28.05    24.77   -10.81    0.296
    23.73    -9.18     6.83    23.34    -8.88     6.74    0.499
     9.62    21.42    33.54     9.43    21.71    33.62    0.359
    30.65    -8.02    -6.42    30.68    -8.10    -6.32    0.137
    22.08    14.15    29.46    21.83    13.86    29.15    0.492
    40.88     1.39    -5.72    40.46     1.82    -5.69    0.602
    -4.29   -18.77   -35.89    -4.19   -18.83   -35.94    0.124
     9.49    -4.49    63.36     9.42    -4.46    63.21    0.167
     9.16   -18.32   -10.42     8.93   -17.73   -10.49    0.637
    13.08    27.38    -1.42    13.00    27.45    -1.41    0.107
    22.07    18.71    22.84    22.18    18.79    22.89    0.149
    22.90    13.76   -32.38    22.94    13.85   -32.21    0.198
     1.43    17.14    43.69     1.52    16.90    43.77    0.270
    16.24   -18.36   -12.25    16.16   -18.60   -12.37    0.285
    -0.32    -5.54    38.55    -0.32    -5.53    38.55    0.007
    25.21    -4.38    14.57    25.35    -4.52    14.61    0.200
    -9.66    -0.71    23.80    -9.85    -1.22    23.87    0.549
    14.10   -17.81    -0.57    14.09   -17.84    -0.55    0.037
    13.48    23.63    22.87    13.49    23.74    22.87    0.105
    12.60    25.70    10.91    12.71    25.59    10.65    0.295
   -26.50   -32.69   -19.92   -26.47   -32.46   -19.94    0.239
   -19.50   -31.75   -14.45   -19.52   -31.51   -14.49    0.241
    25.68    -2.29    20.20    25.61    -2.23    20.17    0.098
   -39.98     6.33   -20.66   -39.83     6.10   -20.77    0.291
    15.56    27.41    -8.85    15.65    27.25    -8.76    0.199
   -19.02    16.19    32.49   -18.83    16.07    32.29    0.302
   -22.14    -9.38   -49.15   -22.03    -9.57   -49.70    0.586
   -42.45     1.88   -21.33   -42.42     1.87   -21.34    0.035
    32.82    19.60     4.33    32.74    19.56     4.33    0.093
    -8.08   -20.52   -40.73    -8.24   -20.34   -40.61    0.261
   -15.40     4.47   -43.23   -15.40     4.30   -43.04    0.259
   -42.50   -15.48   -19.88   -42.53   -15.50   -19.92    0.049
    15.05   -12.35   -20.71    15.05   -12.33   -20.69    0.024
   -25.90    -8.36    -2.46   -25.88    -8.48    -2.94    0.500
    -7.72     5.42   -33.88    -7.69     5.43   -33.88    0.032
     3.29    20.92    18.23     3.32    20.77    18.21    0.149
    26.98    -9.58    -0.74    26.89    -9.57    -0.78    0.102
    -8.56    14.93    39.43    -8.47    14.73    39.28    0.263
    24.15    -6.41    11.37    24.10    -6.34    11.36    0.082
     2.42    19.45     5.23     2.21    19.69     5.11    0.341
    19.06    11.55    52.02    19.44    11.68    52.12    0.413
    -5.41    -2.63    28.85    -5.67    -3.02    28.97    0.490
    -6.02    20.90    29.55    -5.96    21.08    29.62    0.209
    20.18    15.47   -32.51    20.26    15.57   -32.23    0.314
     7.82    20.17    37.51     7.82    20.14    37.50    0.040
     0.25    -6.85    26.52     0.52    -6.46    26.57    0.478
   -39.08   -23.30   -20.68   -38.81   -23.22   -20.66    0.282
     1.71    -9.35    14.80     1.80    -9.28    14.77    0.118
    21.15    -0.84    39.38    20.80    -0.72    39.28    0.382
   -20.47   -24.20    -5.18   -20.51   -23.96    -5.47    0.376
    24.83    -8.97     5.11    24.45    -8.67     4.85    0.545
    12.86    26.60     9.83    12.92    26.47     9.79    0.147
    -9.65    15.83    38.19    -9.71    15.83    38.44    0.257
    17.45    -9.14    16.26    17.15    -8.66    16.19    0.566
    22.36   -11.54   -22.31    22.45   -11.25   -22.14    0.356
   -32.22    -6.07   -46.96   -32.23    -5.94   -47.72    0.772
    -9.78    12.30   -21.43    -9.76    12.33   -21.44    0.033
   -40.97   -16.50   -13.06   -40.71   -16.46   -13.12    0.264
    12.91    -8.76    20.02    12.78    -8.28    19.66    0.618
    21.31    -6.74    17.27    21.53    -7.02    17.33    0.363
    34.40     4.86    11.48    34.37     4.91    11.35    0.137
     2.08    -6.53    36.73     2.11    -6.45    36.73    0.082
   -43.54    -1.97   -19.63   -43.54    -1.98   -19.64    0.014
    -4.78     2.57   -30.01    -4.81     2.55   -29.98    0.048
   -14.04    14.70    12.56   -14.00    14.78    12.69    0.160
    15.48    27.80    -6.04    15.12    28.23    -6.09    0.560
    25.78   -15.50   -19.77    25.54   -15.09   -19.56    0.513
   -38.58    -3.40   -41.99   -38.09    -3.60   -41.64    0.628
    -9.90   -25.02    -8.83    -9.89   -25.08    -8.76    0.091
    -4.86    -2.70    62.64    -4.71    -2.53    62.42    0.318
   -15.70    16.88    34.87   -15.75    16.89    34.91    0.067
