150 PA5-D-Debug-Output.txt
        -9.0568      -103.0229        58.5213       -94.5331         0.2313       114.4660
   -27.66   -21.56   -43.21   -27.75   -21.69   -43.59    0.413
    -1.67    26.97    25.47    -1.57    26.74    25.36    0.272
   -43.51   -12.81   -30.16   -43.37   -12.75   -30.15    0.150
   -19.70   -32.46   -32.05   -19.70   -32.40   -31.99    0.088
    19.64    -4.48   -22.72    19.73    -4.45   -22.55    0.198
    19.49    14.68    47.32    19.55    14.72    47.34    0.071
    25.71    12.90   -33.45    25.71    12.89   -33.45    0.013
   -30.81   -30.81   -30.92   -30.76   -30.70   -30.91    0.118
   -23.91     8.11   -25.94   -23.97     8.26   -25.97    0.155
     9.43    -9.34    15.19     9.29    -8.89    15.16    0.471
    -4.88     8.40    50.14    -4.71     8.25    50.25    0.255
    22.36   -11.64    -2.79    22.22   -11.81    -2.70    0.244
    30.79     0.40    19.28    30.93     0.36    19.39    0.187
    26.33   -12.15   -12.46    26.20   -11.95   -12.38    0.245
   -24.50   -30.90   -34.31   -24.50   -30.87   -34.29    0.037
    19.13   -10.31     1.43    19.01   -10.17     1.36    0.196
    -8.51     4.66    19.63    -8.02     4.42    19.58    0.548
    -8.24    18.00    13.14    -7.91    18.37    13.43    0.572
    24.26    -0.96    27.62    25.28    -1.35    27.87    1.119
    19.97    23.03   -32.57    19.92    23.03   -32.64    0.088
   -21.29     8.20   -28.98   -21.30     8.28   -29.06    0.118
   -15.64     4.53   -13.22   -15.64     4.49   -13.25    0.051
    36.47    -2.70    15.20    36.44    -2.70    15.16    0.052
    39.84    10.47    -3.45    39.75    10.37    -3.46    0.138
    19.01    -8.95     4.68    18.97    -8.73     4.62    0.230
     8.67    -8.01    31.35     8.77    -8.23    31.37    0.247
    19.21    15.07   -24.92    19.08    15.14   -24.90    0.147
    -3.63     2.12   -26.57    -3.29     2.09   -26.66    0.354
     3.43   -10.03    47.63     3.45   -10.07    47.62    0.047
    25.56    18.30   -31.27    25.58    18.29   -31.28    0.030
    -4.90    29.55    14.09    -4.80    29.95    13.83    0.487
    38.87     1.18    12.67    38.71     1.31    12.76    0.222
    38.71    10.20   -16.08    38.84    10.28   -16.08    0.153
   -25.68   -15.19   -44.49   -25.74   -15.19   -45.08    0.592
    -2.07    29.91    16.44    -2.08    29.86    16.45    0.048
    36.71    15.12   -20.32    36.65    15.11   -20.32    0.056
    17.29    -3.43    41.44    17.25    -3.38    41.43    0.059
    -4.36     9.40    60.92    -4.25     9.32    60.76    0.212
   -12.03     1.02     7.65   -12.28     1.11     7.70    0.268
     9.63    18.05   -11.89     9.58    18.12   -11.93    0.092
    33.98    20.10   -24.86    33.77    19.96   -24.72    0.289
   -44.18    -9.23   -13.70   -44.44    -9.22   -13.53    0.313
    25.86     1.00    25.71    26.32     0.87    25.90    0.513
    21.19    24.88   -32.06    21.16    24.89   -32.04    0.037
    -6.02     7.00    58.93    -6.72     7.36    58.92    0.793
    26.15    26.69    -1.14    25.91    26.37    -1.15    0.400
    -5.53   -10.30    48.84    -5.64   -10.48    48.86    0.214
    -3.53    10.96    53.44    -3.49    10.93    53.45    0.054
   -45.11   -14.44   -18.45   -44.56   -14.19   -18.57    0.620
   -14.54     7.40   -22.38   -14.63     7.09   -22.41    0.331
   -34.28   -30.11   -18.81   -34.22   -29.99   -18.85    0.144
   -32.57     3.94   -32.54   -32.53     3.88   -32.48    0.100
    -0.07    28.40    23.42    -0.07    28.19    23.32    0.234
    25.04    21.53    24.99    25.04    21.49    24.99    0.042
   -38.34    -0.53   -32.43   -38.13    -0.62   -32.36    0.240
     9.94    28.95     6.78     9.99    29.05     6.80    0.115
    -0.90    27.90    23.96    -0.82    27.77    23.88    0.175
    -7.16    -8.54    36.34    -6.88    -8.36    36.31    0.338
     3.59   -10.40    22.79     3.55   -10.17    22.79    0.231
    15.68    -2.99    57.68    15.30    -2.72    57.64    0.463
   -41.02    -4.98   -34.84   -41.40    -4.63   -34.72    0.529
   -15.80   -23.88    -7.18   -15.79   -23.88    -7.17    0.015
     2.82    29.44    18.61     2.80    29.59    18.59    0.158
    25.29   -14.28    -9.81    25.04   -14.14    -9.69    0.315
   -30.66   -19.76    -6.02   -30.75   -19.68    -5.08    0.945
    10.83    -5.13   -22.43    10.78    -5.11   -22.06    0.380
   -12.05   -11.32     8.96   -11.65   -10.81     8.62    0.736
   -27.32   -33.77   -23.69   -27.15   -33.34   -23.69    0.464
   -44.89   -11.77   -15.03   -44.81   -11.73   -15.08    0.100
    15.21    12.93    62.84    15.27    13.04    62.95    0.169
    35.95    -3.07   -18.43    36.59    -3.06   -18.51    0.649
    19.84    16.45   -29.04    19.70    16.31   -29.17    0.238
