150 PA5-K-Unknown-Output.txt
      -125.3244      -158.5241        33.0249        79.7028       122.4553       -69.7062
     9.20   -17.10    -3.89     9.33   -16.66    -4.06    0.494
   -42.08    -1.68   -11.27   -42.44    -1.55   -11.34    0.392
    35.97    -6.00     3.07    37.05    -5.95     2.26    1.350
   -33.26     5.84   -40.44   -33.23     5.74   -40.40    0.119
     4.39    23.34    13.31     4.15    24.13    13.40    0.829
     6.63   -17.51    -5.51     6.45   -17.34    -5.48    0.256
   -12.90     8.52    -0.55   -13.11     8.61    -0.56    0.225
   -15.53    -9.63     3.24   -15.82    -9.99     3.51    0.534
   -26.82     3.32   -10.38   -26.81     3.33   -10.37    0.013
    19.88    28.75    -2.80    19.86    28.33    -2.90    0.430
   -15.61    12.30    32.54   -15.09    12.15    32.18    0.657
   -34.63    -8.40    -4.64   -34.68    -8.38    -4.55    0.096
    13.85   -14.92     8.00    13.85   -14.91     8.00    0.006
   -11.10   -24.13   -36.56   -11.35   -24.02   -36.27    0.402
    22.03     3.68    50.93    22.13     3.72    51.00    0.131
    25.82   -14.22   -10.30    25.84   -14.23   -10.30    0.016
    26.53     7.77    36.64    26.22     7.70    36.60    0.311
     5.42   -14.33     3.06     5.42   -14.37     3.29    0.234
   -19.91     5.46    -9.49   -20.03     5.56    -9.02    0.494
    31.68    20.64    12.01    31.96    20.91    11.97    0.392
     2.71     7.17    52.32     2.69     7.13    52.42    0.113
    42.50    11.78     7.91    41.92    11.78     7.88    0.590
   -33.65    10.37   -33.67   -33.64    10.31   -33.59    0.102
    26.02     5.14    40.13    26.10     5.13    40.13    0.085
   -10.37     6.44    47.17   -11.52     6.25    47.17    1.162
   -17.18    10.56   -31.31   -17.09    10.65   -31.30    0.130
   -20.84   -10.40    -1.95   -20.75   -10.33    -2.10    0.188
   -20.50   -17.27    -4.96   -20.49   -17.25    -5.39    0.426
    39.76     8.85   -15.62    39.73     8.86   -15.61    0.034
     6.66    26.37     5.99     6.75    26.18     6.03    0.208
   -36.04     0.57   -44.50   -35.99     0.58   -44.55    0.063
    13.02    27.70     7.68    13.11    27.83     7.79    0.196
   -39.44   -12.20    -9.60   -39.76   -12.17    -9.70    0.330
    42.94    11.79    -6.37    42.88    11.77    -6.34    0.072
   -37.40   -25.43   -16.56   -37.31   -25.19   -16.62    0.264
    29.05   -11.90     2.66    29.32   -11.99     2.81    0.320
   -19.45    16.18    17.81   -19.34    15.95    17.96    0.300
   -44.25   -12.00   -32.67   -43.41   -12.21   -32.70    0.870
   -30.28    12.77   -23.55   -30.32    12.43   -23.65    0.359
    20.87    -6.24    34.67    20.71    -5.97    34.52    0.354
    -6.28    14.45     6.69    -6.00    13.86     6.77    0.656
    34.36    17.27    12.49    33.83    17.34    12.27    0.570
    11.59    -8.36    32.98    11.58    -8.81    32.98    0.447
    -6.10   -25.04   -26.38    -6.18   -24.70   -26.13    0.431
   -28.90   -30.35   -19.73   -28.81   -29.68   -19.68    0.680
    15.31    20.90    44.37    15.32    20.90    44.37    0.009
    -7.82     4.95   -27.46    -7.80     4.98   -27.48    0.042
    11.23    24.81    22.56    11.32    24.24    22.42    0.598
    35.68    17.49   -18.16    35.39    17.40   -18.00    0.336
     0.67   -21.39   -35.44     0.73   -21.42   -35.48    0.086
   -19.31   -25.31   -39.33   -19.35   -25.42   -39.55    0.244
    19.35   -12.50   -13.59    19.11   -12.55   -13.15    0.503
   -18.64   -30.08   -27.57   -18.61   -30.11   -27.58    0.045
   -11.35     7.51   -27.17   -11.48     6.93   -27.00    0.618
    25.54     1.10    40.50    25.15     1.26    40.31    0.454
    -1.30   -24.33   -20.28    -1.59   -24.32   -20.38    0.305
   -16.65    11.44   -19.42   -16.74    11.31   -19.40    0.157
    37.36    19.44     4.06    37.21    19.37     4.07    0.159
   -19.40   -18.76    -5.49   -19.40   -18.75    -5.50    0.011
   -22.39     6.28   -40.93   -22.45     6.68   -41.39    0.614
   -27.28   -24.56   -40.42   -27.79   -24.31   -39.99    0.713
   -27.91   -10.74    -5.05   -27.98   -10.76    -4.76    0.305
     8.22    24.72    15.47     8.22    24.72    15.46    0.005
    32.64    13.14    17.95    33.09    13.45    18.31    0.655
    -5.50     5.88   -22.94    -5.47     5.19   -22.30    0.936
     1.14   -12.79    10.18     1.09   -13.14    10.24    0.350
    22.15   -14.32    -9.62    22.26   -14.44    -9.74    0.200
    24.76     5.17    44.24    24.97     5.23    44.28    0.227
    -5.45    -8.21    20.53    -5.29    -7.70    20.47    0.541
   -19.91     3.46    17.96   -19.70     3.48    17.96    0.208
   -20.80    10.22   -35.63   -20.83    10.40   -35.80    0.245
     3.46     0.48    53.02     3.43     0.40    52.78    0.248
    31.55    -7.67     3.11    31.46    -7.65     3.08    0.089
   -42.46    -8.23   -38.83   -41.42    -8.49   -38.41    1.150
    25.46    -7.23    20.97    25.72    -7.56    21.03    0.421
    25.92   -11.29   -14.95    25.92   -11.21   -14.88    0.106
    25.21   -17.76    -0.58    25.39   -17.89    -0.59    0.223
     4.96   -14.20     3.26     4.96   -14.21     3.32    0.067
    32.73    23.95     4.88    32.91    24.37     4.71    0.478
    15.26    -8.64   -18.40    15.23    -8.45   -18.04    0.403
    -9.98     9.05    42.43    -9.61     9.09    42.27    0.406
   -14.50     9.51     6.79   -14.21     9.22     7.09    0.509
