400 PA5-H-Unknown-Output.txt
       -84.2299       180.6796       -14.8019       -19.2875       -85.1728        62.0377
     8.11    -6.02    37.06     8.09    -5.18    37.22    0.851
    18.49    21.26    56.10    18.04    20.85    56.54    0.756
   -14.93    -1.08    -0.19   -15.99    -0.78     0.17    1.156
   -43.30    -9.15   -35.67   -43.12    -9.17   -35.68    0.181
     2.99    20.86    55.15     2.98    20.88    55.14    0.022
     3.28     0.47   -19.55     3.39     0.47   -19.58    0.123
    17.01    22.12   -17.23    16.63    21.85   -17.15    0.476
   -35.69   -12.55   -45.29   -35.70   -12.44   -45.51    0.241
    20.40     2.94    61.13    20.11     3.20    61.57    0.592
    -9.94   -19.89   -49.39    -9.92   -19.89   -49.45    0.067
   -43.74   -13.79   -30.38   -44.25   -13.79   -30.41    0.515
   -41.23   -21.88   -32.64   -41.52   -22.09   -32.67    0.368
    -5.22   -23.59   -41.26    -4.61   -23.72   -41.55    0.689
    16.94    22.71    40.88    17.00    22.28    40.85    0.439
    29.38    10.93   -14.19    29.35    10.91   -14.18    0.047
    33.96     3.72    -6.08    33.67     3.85    -5.78    0.436
     6.01    -6.56   -20.61     6.14    -6.64   -20.75    0.203
    -1.87     8.81   -10.97    -1.93     9.07   -11.05    0.283
    23.92    19.76   -10.85    24.23    20.06   -10.84    0.431
    24.16    -3.32    24.35    24.26    -3.43    24.40    0.159
    31.26    -4.04     9.32    31.24    -4.09     9.29    0.059
     0.37    -1.55   -24.09     0.66    -1.50   -24.24    0.336
     7.23    26.89     9.57     7.46    26.73     9.57    0.286
    16.15    -4.32    42.17    15.58    -5.50    42.15    1.311
    -5.83    -1.97    24.07    -5.46    -1.94    24.01    0.373
    13.51    22.32    51.72    13.63    22.78    51.84    0.492
    14.37    -4.83    54.06    14.36    -5.13    54.00    0.305
    15.36    22.39    38.65    15.41    22.53    38.67    0.149
    25.06     5.98    39.88    25.86     5.67    39.83    0.866
    12.05   -14.17   -12.77    12.07   -13.91   -12.71    0.266
    22.22     2.45    52.72    22.23     2.45    52.72    0.008
    -2.39    20.99    18.64    -2.57    21.65    18.10    0.872
     7.13    12.52    -4.95     7.21    12.57    -5.01    0.119
   -32.43   -19.76   -14.15   -31.93   -19.81   -14.48    0.598
    24.92    12.58    38.31    25.01    12.55    38.33    0.097
   -26.26   -31.36   -38.02   -26.46   -31.94   -38.13    0.619
    -8.43   -11.64   -50.47    -8.25   -11.73   -50.67    0.286
    13.49     2.46   -22.00    13.84     2.39   -21.77    0.432
     1.21   -12.71     7.18     1.20   -12.72     7.18    0.010
     7.28    25.69     6.08     7.06    25.85     6.05    0.274
    24.76     9.86    48.46    24.17     9.94    48.26    0.634
   -31.68   -11.52   -13.98   -31.73   -11.52   -13.79    0.195
    -1.25   -20.46   -29.26    -1.67   -20.34   -29.33    0.438
    -5.55    -6.64   -46.93    -5.29    -6.55   -47.07    0.311
   -28.90     4.13   -20.30   -28.88     3.66   -20.63    0.583
     9.23   -10.27     4.64     9.42   -10.81     4.82    0.599
   -27.72   -14.47   -51.53   -27.28   -14.58   -50.32    1.290
   -19.06    -3.47   -52.89   -19.12    -3.56   -52.81    0.132
    10.86    27.51    14.07    11.16    28.34    13.99    0.883
     6.35    -5.95    38.90     6.31    -5.59    38.97    0.366
     4.32   -15.11   -15.08     4.75   -15.56   -15.44    0.721
   -10.60    -8.45     4.06   -10.35    -8.05     3.69    0.603
    28.89    16.67     6.99    28.58    16.50     6.89    0.369
     5.48   -13.78   -16.82     5.46   -13.77   -16.81    0.029
    17.02   -12.58   -16.43    17.35   -13.23   -16.17    0.776
    21.54    -8.21    10.05    21.67    -7.94    10.01    0.306
   -24.27     8.65   -24.68   -24.28     8.71   -24.68    0.065
    -9.11   -15.64    -7.28    -8.61   -14.83    -7.74    1.058
    21.39    -4.79    25.05    21.17    -4.29    24.95    0.552
   -17.82   -10.27    -5.41   -17.76    -9.74    -5.98    0.783
     2.87    26.92    39.27     2.81    26.73    39.19    0.220
     0.32     2.22   -20.57     0.59     2.80   -21.15    0.860
    16.11    21.69    52.62    16.13    21.77    52.64    0.081
    14.21    25.71    23.54    14.53    26.34    23.40    0.723
     7.31    14.55   -17.74     7.71    14.76   -17.91    0.479
    11.44    26.42    26.37    11.43    26.37    26.36    0.053
     6.30    -5.54    61.44     6.31    -5.54    62.07    0.627
   -25.04     3.89   -45.86   -24.81     3.45   -45.48    0.631
   -21.00    -3.99   -52.10   -21.01    -3.99   -52.10    0.007
   -12.50    -2.34   -49.03   -12.76    -2.73   -48.51    0.701
     4.53    -6.99    59.71     4.55    -6.61    59.78    0.392
     3.71    23.18    11.99     3.89    23.13    12.14    0.238
    -8.28   -21.15   -47.94    -8.35   -21.12   -47.90    0.084
    -3.99    22.14    45.71    -3.97    22.16    45.67    0.045
    28.02    -8.61    -9.56    27.73    -8.45    -9.75    0.385
    -4.05    -1.08    33.58    -3.89    -1.13    33.50    0.185
    -8.92    21.99    27.19    -9.19    22.05    27.06    0.306
    18.23     2.49   -27.72    17.64     2.36   -28.11    0.715
    -7.78   -27.41   -41.38    -7.52   -27.65   -41.58    0.404
    25.02    -3.90    21.68    25.36    -4.47    21.88    0.690
   -14.81     5.84   -43.04   -14.85     5.78   -43.00    0.087
    19.51    21.84    27.77    19.29    21.36    27.53    0.584
    14.84    23.05    43.10    14.84    23.14    43.04    0.108
     0.67    -9.50    24.13     0.46    -9.28    24.08    0.305
    17.56    21.86    35.70    17.36    22.43    35.52    0.628
    -0.18     7.46   -13.98    -0.08     7.75   -14.32    0.465
    24.84    15.32    24.32    24.32    15.02    24.39    0.604
    23.26     1.34   -27.86    23.31     1.44   -27.71    0.195
    18.23     5.53    60.66    18.41     5.17    59.98    0.792
    13.72    17.93   -24.28    13.88    18.62   -24.95    0.975
    -0.51     4.42   -18.44     0.03     5.24   -18.62    0.997
   -26.59    -5.00   -50.67   -26.18    -4.70   -49.96    0.871
     5.50   -11.98   -19.34     5.54   -11.80   -19.18    0.241
     2.28   -17.12   -12.00     2.48   -17.76   -12.04    0.674
   -36.43   -16.41   -45.88   -36.38   -16.63   -46.19    0.381
     2.03   -16.25    -7.18     2.14   -17.14    -6.98    0.921
     0.47    -6.16   -24.97     0.52    -6.20   -25.03    0.088
    23.04    -5.83    20.26    23.08    -5.69    20.20    0.155
   -27.72   -30.60   -22.06   -27.83   -30.70   -21.97    0.169
     9.55    -7.98    10.82     9.73    -8.49    11.00    0.567
   -20.92     7.96   -24.16   -20.92     7.94   -24.17    0.021
   -20.05    -9.56   -52.73   -20.04    -9.57   -52.66    0.077
    25.59    -7.05   -19.47    25.40    -6.74   -19.39    0.364
    24.49     9.25    51.47    23.53     9.32    51.28    0.988
    26.24    10.43    29.02    26.37    10.48    29.08    0.156
     2.09     9.51   -10.01     1.61    10.21   -10.36    0.918
    16.04    -6.53   -23.17    16.03    -6.57   -23.12    0.072
     8.86    -6.06    51.28     8.74    -5.61    51.29    0.458
     7.67    22.06    54.89     7.78    22.71    55.16    0.705
    27.84     7.37   -20.27    27.73     7.31   -20.24    0.131
     0.03    24.33    47.52     0.01    24.04    47.37    0.329
     0.03     9.65    48.96    -0.04     9.64    48.95    0.067
    15.23    -3.95    60.57    15.34    -4.16    60.68    0.260
    17.02    22.06    33.09    17.12    22.24    33.12    0.210
     0.62    23.62    16.14     0.46    23.72    15.89    0.320
   -35.50   -18.51   -43.09   -35.42   -18.49   -43.05    0.085
    -1.67    11.32    -3.66    -1.50    10.87    -3.65    0.475
    29.09    -5.64     3.05    28.82    -5.49     2.90    0.346
    28.02     7.29   -19.87    27.90     7.22   -19.84    0.138
   -36.01   -15.57   -45.78   -35.97   -15.49   -45.94    0.183
   -17.15   -11.11    -5.78   -16.96   -10.73    -6.46    0.806
     9.92    -6.00    60.65     9.92    -6.56    60.56    0.563
    29.27    11.30   -14.18    29.20    11.25   -14.13    0.099
    16.93    -6.17    17.33    16.83    -6.02    17.35    0.179
    -6.32     4.12   -35.24    -5.94     4.42   -35.39    0.502
    17.55    23.27    26.08    17.67    23.37    26.10    0.167
    16.55    24.74    19.65    16.91    25.32    19.71    0.685
     0.94    29.41    25.71     0.94    29.29    25.68    0.128
   -35.34   -26.89   -26.03   -35.57   -27.18   -25.95    0.377
    21.83    -0.45    40.51    21.63    -0.30    40.56    0.254
   -36.06     0.30   -40.20   -36.44     0.65   -40.42    0.561
     8.84    -6.19    56.32     8.83    -6.31    56.31    0.126
    -4.71     8.62   -10.23    -4.67     8.58   -10.20    0.063
   -33.92   -11.83   -14.11   -33.90   -11.83   -14.21    0.100
    18.43    -6.02    17.18    18.43    -6.01    17.17    0.013
   -22.77   -32.04   -22.90   -22.74   -32.13   -22.85    0.109
     6.68    26.44     9.66     6.81    26.17     9.79    0.331
    -5.60    29.48    26.92    -5.69    29.61    26.86    0.173
   -38.93   -22.96   -38.73   -39.07   -22.62   -38.22    0.625
    19.08   -11.92    -4.82    19.07   -11.94    -4.82    0.017
   -35.24    -0.81   -42.24   -35.46    -0.55   -42.53    0.445
    -7.93     3.49    13.92    -7.90     3.49    13.91    0.030
    -0.04    12.32    54.69    -0.84    12.53    54.64    0.832
    -3.19    21.52    46.78    -2.97    21.59    46.56    0.313
   -13.17    -0.29   -48.14   -13.33    -0.37   -47.87    0.325
    10.17    -4.61    61.32    10.25    -4.45    61.73    0.446
     8.06     5.51    63.74     8.06     5.25    63.90    0.302
   -12.55   -20.15   -50.57   -12.53   -20.16   -50.60    0.040
    -9.03    22.13    40.77    -9.19    22.07    40.96    0.254
    -7.88    27.96    35.18    -7.86    27.94    35.16    0.035
    27.08   -10.01   -10.62    27.07    -9.80   -10.74    0.237
    -0.76     0.47    55.25    -1.13     0.59    55.44    0.438
     6.43    28.23    21.88     6.38    28.15    21.86    0.097
   -32.96    -2.24   -17.66   -32.94    -2.26   -17.75    0.095
    29.71    12.60    12.75    29.85    12.55    12.91    0.221
    -6.68     9.69    12.39    -6.80     9.79    12.35    0.162
   -21.23   -16.87   -52.83   -20.97   -16.53   -52.07    0.869
    -4.34   -25.46   -24.70    -4.75   -25.01   -24.87    0.632
   -30.29   -31.23   -29.56   -30.70   -31.92   -29.49    0.804
   -23.69   -12.99   -53.08   -23.56   -12.75   -52.78    0.411
    22.51    -5.04    21.78    22.55    -4.88    21.73    0.173
    -0.32     6.79    57.26    -0.16     6.78    57.24    0.155
    -0.72   -19.10   -12.60    -0.69   -19.17   -12.59    0.079
    -1.51    -1.56    44.46    -1.38    -1.53    44.43    0.134
    27.48    14.49   -14.33    27.55    14.52   -14.37    0.080
    12.23   -15.79    -8.52    12.18   -15.49    -8.67    0.333
   -24.69   -33.46   -29.18   -24.81   -33.89   -29.09    0.455
     6.51   -12.52   -18.08     6.50   -12.52   -18.08    0.012
   -39.74    -4.18   -20.80   -39.84    -4.17   -20.81    0.105
     6.40    19.76    -3.16     6.31    19.75    -3.17    0.091
    -8.63   -28.80   -21.76    -8.96   -28.16   -21.96    0.750
    -5.33     7.69   -13.83    -5.35     7.19   -13.73    0.510
    30.61    12.12    11.57    30.63    12.13    11.56    0.021
     5.52    -3.94    61.62     5.52    -3.92    62.04    0.423
   -12.22   -26.02   -15.51   -12.32   -26.40   -15.37    0.422
   -29.13     2.60   -44.95   -29.08     2.59   -44.67    0.287
     1.91    -2.13    61.82     1.90    -2.12    62.03    0.214
    -2.27    -7.81   -27.92    -2.69    -7.70   -27.88    0.430
   -19.13   -13.84    -8.82   -19.25   -13.91    -8.50    0.343
    -8.01   -28.20   -21.45    -8.34   -27.75   -21.68    0.602
   -23.28     0.26   -49.26   -23.33     0.40   -49.42    0.222
   -36.28     2.66   -28.06   -36.22     2.62   -28.04    0.071
    17.72   -12.32    -5.92    17.83   -12.31    -5.95    0.118
     1.06     7.87    61.53     0.99     7.85    61.87    0.341
     1.61     8.79   -11.47     1.42     9.62   -11.74    0.895
    18.11    22.11    30.92    18.11    22.10    30.91    0.014
   -10.91     5.70    -0.98   -11.21     6.32    -1.13    0.700
     6.89    22.48    52.61     6.93    22.61    52.52    0.163
    24.69    18.16    15.24    25.10    18.38    15.41    0.500
    29.54    -5.37    12.02    30.13    -5.89    12.05    0.793
   -11.13    22.40    33.43   -10.93    22.34    33.38    0.215
     0.07    12.09    56.84     0.26    12.10    56.62    0.291
   -10.24    19.53    30.13   -10.40    19.44    30.04    0.210
     5.29    13.11    62.08     5.27    13.20    62.27    0.212
     3.55    23.15    51.03     3.71    22.74    50.99    0.443
    -9.00     7.50   -15.26    -9.04     7.17   -15.19    0.337
    -0.70    15.39    46.64    -0.61    15.42    46.66    0.096
    -2.70   -13.40     0.69    -2.60   -13.13     0.75    0.295
    -0.98    20.22    50.57    -0.90    20.21    50.53    0.095
     6.96    15.44    -3.35     7.02    15.46    -3.35    0.065
    -7.31     8.30     5.11    -7.43     8.39     5.15    0.155
   -25.48   -19.01   -50.35   -25.48   -19.00   -50.30    0.048
    22.41     2.98    52.32    22.58     2.83    52.33    0.232
    31.96    -0.74    -9.03    32.40    -1.11    -9.21    0.599
   -27.86   -29.56   -40.40   -27.90   -29.62   -40.47    0.098
   -36.82   -25.10   -37.79   -36.94   -25.20   -37.98    0.245
     8.97    25.39     2.81     8.66    25.89     2.67    0.606
    10.83     3.19   -18.13    10.51     3.22   -18.49    0.486
     9.85    -7.32    14.94     9.94    -7.97    14.94    0.649
   -27.21     8.27   -25.68   -27.22     8.34   -25.68    0.073
    -6.43     0.75   -40.99    -6.38     0.78   -41.05    0.078
    17.47    23.80   -10.04    17.28    23.09   -10.02    0.740
     0.79    -2.34    61.49     0.61    -1.97    61.82    0.525
    -3.79   -24.71   -34.49    -3.56   -25.04   -34.44    0.404
     3.71   -16.47   -11.99     3.97   -17.27   -12.03    0.839
    17.82    22.52    44.53    17.90    22.56    44.54    0.091
     0.22    17.50    55.69     0.06    17.53    55.68    0.166
    20.11    -0.82    53.64    19.86    -0.70    53.60    0.283
     7.98     2.10    62.78     7.97     2.12    62.74    0.039
     0.91    -2.10   -23.62     0.99    -1.97   -23.95    0.361
   -30.83   -21.61   -46.91   -30.52   -21.51   -46.60    0.450
     2.73   -12.55     6.87     2.71   -12.54     6.87    0.018
    24.17    -4.41    22.61    24.35    -4.68    22.77    0.363
    15.16    -4.72    43.78    14.92    -5.21    43.77    0.547
    -7.84   -30.01   -31.39    -8.31   -29.25   -31.45    0.891
    16.02    13.58    60.29    15.79    13.55    59.44    0.877
    15.06    22.40   -18.80    15.04    22.34   -18.75    0.080
   -32.80     1.98   -20.27   -32.58     2.48   -19.82    0.708
   -17.43     8.66   -39.08   -17.43     8.75   -39.14    0.102
     5.53    -6.45    52.52     5.56    -6.24    52.48    0.222
    23.45     3.55    45.23    24.32     3.23    45.41    0.947
   -30.18     2.69   -20.09   -30.22     2.79   -20.03    0.128
    -8.35     2.53    13.82    -7.91     2.55    13.70    0.450
   -37.52   -17.87   -45.79   -37.57   -17.73   -45.62    0.230
    34.49     1.34    -0.55    34.59     1.22    -0.50    0.163
   -22.82     9.34   -25.63   -22.78     9.13   -25.65    0.216
    11.01    -6.84   -22.95    11.21    -6.87   -22.85    0.222
    19.27    12.40   -24.92    19.26    12.36   -24.87    0.066
   -20.89     1.23   -49.53   -20.89     1.21   -49.51    0.027
   -32.75    -1.41   -17.71   -32.74    -1.48   -17.96    0.255
   -37.87   -24.54   -37.24   -38.08   -24.72   -37.58    0.439
    24.23    19.77    -1.03    24.33    19.86    -1.02    0.142
    -4.53   -25.89   -25.61    -4.90   -25.48   -25.76    0.571
     0.21     9.86    60.42     0.40     9.83    60.40    0.199
   -12.27   -17.77   -11.54   -12.28   -17.72   -11.67    0.135
     5.38    22.18    53.31     4.60    22.19    53.16    0.794
    -0.34    -1.61    59.37    -0.16    -1.58    59.44    0.200
    17.97     7.38   -26.70    17.90     7.40   -26.24    0.462
    -0.97   -16.11   -34.32    -1.04   -16.09   -34.31    0.071
     6.87    17.81    -6.87     7.22    18.13    -6.52    0.584
    -4.47    30.87    29.61    -4.48    30.53    29.62    0.344
   -28.27     4.02   -43.75   -28.38     3.46   -43.34    0.707
    21.60   -12.12    -3.99    21.59   -11.88    -4.06    0.246
    -7.80   -13.48   -49.91    -7.91   -13.57   -49.82    0.167
   -30.16    -1.97   -17.48   -30.39    -1.64   -17.07    0.580
    14.73    -4.50    38.38    14.66    -4.77    38.39    0.277
    -9.52    25.39    29.17    -9.39    25.31    29.19    0.155
    -0.35    -2.87    51.64    -0.20    -2.73    51.62    0.199
    28.86    14.24    -9.50    29.30    14.57    -9.46    0.550
    24.74     8.26    45.90    24.52     8.30    45.84    0.242
   -23.62   -26.76   -14.26   -24.10   -26.25   -15.12    1.110
    22.10     0.24    40.97    22.14     0.20    40.95    0.058
   -31.95   -17.16   -13.23   -31.96   -17.20   -13.34    0.123
     7.52    20.75    -5.23     6.53    21.21    -5.26    1.092
   -15.21   -23.25   -49.80   -15.21   -23.41   -49.93    0.199
     0.32    -4.97    45.83     0.29    -4.96    45.82    0.034
     8.96   -11.25     3.61     8.98   -11.33     3.64    0.092
    18.55    21.66    48.06    18.41    21.54    48.05    0.177
    15.44   -10.37    -1.85    15.63   -10.84    -1.68    0.539
   -16.43     4.93   -45.70   -16.59     4.75   -45.51    0.306
    20.80    22.06   -12.19    20.63    22.55   -12.16    0.515
    19.39    -5.90    18.50    19.37    -5.85    18.48    0.058
   -26.23   -15.20   -11.48   -26.35   -15.06   -11.74    0.322
   -16.61   -18.69   -52.21   -16.67   -18.65   -52.56    0.352
     4.50    -6.40    41.52     4.47    -6.22    41.52    0.189
    28.27     4.34    22.60    28.34     4.29    22.59    0.081
    23.96    14.24    50.86    22.89    13.85    50.75    1.137
    -1.27   -15.07   -35.93    -1.45   -15.15   -35.88    0.202
   -38.33    -3.51   -18.97   -38.17    -3.73   -19.37    0.483
     3.92    -6.18    61.02     3.83    -6.54    61.20    0.414
    -1.24    18.05    13.77    -1.21    18.00    13.78    0.054
    20.39    -3.92    29.68    20.24    -3.57    29.58    0.392
   -20.59   -25.48   -14.00   -20.62   -25.52   -13.97    0.062
    -0.86     1.67    47.34    -1.35     1.53    47.58    0.563
   -40.20   -10.71   -39.88   -40.11   -10.16   -40.42    0.767
    -0.86   -19.04   -33.05    -1.36   -19.05   -32.93    0.510
     7.11    13.28    -4.40     7.11    13.28    -4.41    0.010
    -6.78     8.42    -3.50    -6.79     8.41    -3.50    0.008
   -27.01     8.93   -29.19   -27.00     8.89   -29.21    0.045
     6.27    -5.04    61.53     6.27    -5.02    62.07    0.538
    -0.73     4.49    58.08    -0.22     4.27    57.98    0.570
   -17.57   -21.03   -11.65   -17.65   -20.96   -11.79    0.178
    19.52    -1.62    59.71    19.92    -1.77    59.79    0.441
    27.68    -7.45    10.35    27.63    -7.36    10.40    0.117
    16.14    15.84   -24.16    16.19    15.83   -24.21    0.068
     4.77    -6.36    38.48     4.60    -5.95    38.48    0.438
   -32.92   -14.27   -48.40   -32.86   -14.33   -48.27    0.154
    20.81    23.14    14.47    20.70    23.01    14.44    0.173
    -0.98   -19.82   -32.60    -1.35   -19.76   -32.55    0.385
   -30.95   -19.91   -47.47   -30.58   -19.79   -47.09    0.543
    -0.27     7.31    40.41    -0.14     7.25    40.40    0.145
     3.63    -0.54   -19.57     3.65    -0.52   -19.61    0.046
     2.28    25.64    43.74     2.22    25.42    43.64    0.251
    23.35     3.21    43.83    24.25     2.51    43.80    1.144
    30.67     9.66    12.05    30.84     9.67    12.12    0.182
    11.69   -14.73    -4.76    11.65   -14.35    -4.86    0.400
   -11.31     8.85   -31.30   -11.65     8.46   -31.21    0.523
    14.15    25.82    22.80    14.38    26.28    22.70    0.520
    -6.83     9.92    12.00    -6.70     9.81    12.03    0.178
     9.70    25.82     3.63     9.64    25.72     3.28    0.368
    26.23    11.00   -21.23    25.88    10.90   -21.07    0.398
   -20.10   -30.91   -19.00   -20.47   -30.63   -19.54    0.712
    25.40    -7.94    16.10    25.27    -8.38    15.79    0.549
    -6.82    -6.05    17.56    -6.03    -5.86    17.35    0.842
   -40.70    -2.81   -33.71   -41.08    -2.35   -33.90    0.624
   -31.15    -8.92   -49.16   -30.59    -9.05   -48.37    0.979
     0.10     9.99    52.47    -0.66     9.87    52.19    0.817
   -33.30     3.23   -39.90   -33.53     4.04   -40.19    0.894
    -0.75    22.19    50.24    -0.81    22.20    50.26    0.066
   -28.17     8.64   -29.68   -28.19     8.79   -29.67    0.149
    -8.46   -22.42   -17.84    -8.24   -22.70   -17.67    0.404
     0.94    -5.37    54.45     1.36    -4.79    54.48    0.712
    -7.37   -20.66   -16.88    -7.05   -21.21   -16.67    0.674
    13.50    24.53    32.07    13.41    24.38    32.09    0.182
    25.91    12.84    24.18    25.67    12.69    24.21    0.285
   -19.17    -2.88    -6.28   -19.48    -2.94    -6.10    0.366
    10.93     8.61   -22.55    10.94     8.61   -22.56    0.010
    26.51    -0.88    22.21    26.55    -0.89    22.22    0.038
   -42.68   -18.44   -37.98   -43.12   -18.81   -38.15    0.602
    12.99    23.26   -17.78    12.77    23.84   -17.82    0.626
    23.55     2.17    39.90    23.61     2.10    39.90    0.099
    14.92    24.64    26.41    15.11    24.98    26.49    0.399
    14.44    26.28     5.28    14.79    25.48     5.16    0.884
    22.81     3.34   -28.52    22.83     3.34   -28.33    0.200
   -29.82   -11.65   -13.03   -29.77   -11.69   -13.45    0.430
     1.34    -3.34   -24.11     1.40    -3.23   -24.37    0.290
   -16.56   -29.77   -43.93   -16.54   -29.94   -44.02    0.188
     9.95   -15.13    -5.20     9.88   -14.63    -5.36    0.531
    -2.65    15.48    39.90    -2.61    15.56    39.88    0.100
    13.03    -6.36    20.21    13.42    -6.72    20.19    0.533
     5.82    11.06    -6.67     5.84    11.21    -6.78    0.188
