400 PA5-J-Unknown-Output.txt
        98.9304      -105.9997       -66.9068      -143.7371        26.6055       -63.3139
    26.65    -5.69     2.59    26.24    -5.01     2.39    0.809
    -8.26    18.40    12.72    -8.30    18.50    12.62    0.155
    30.80    26.44   -21.82    30.77    26.41   -21.82    0.042
     1.42    -9.31    67.09     1.42    -9.31    67.09    0.008
    -6.39   -27.38   -30.07    -6.36   -27.40   -30.07    0.039
    -9.19    -4.37     9.75    -9.54    -4.47     9.91    0.399
     3.26    -9.03    26.32     3.37    -9.31    26.35    0.305
   -15.61    10.43    28.32   -15.07    10.69    28.28    0.607
    -2.59    -6.58    31.44    -2.11    -6.24    31.25    0.621
    20.82     6.01    23.61    20.89     5.97    23.64    0.084
   -42.16   -15.86   -10.35   -41.78   -15.81   -10.37    0.384
   -11.08     0.33   -42.56   -11.00     0.33   -42.65    0.124
    28.50     6.74   -35.28    28.54     6.78   -35.62    0.342
   -13.28   -27.15    -5.87   -13.72   -26.64    -6.44    0.880
     4.89    -3.15    66.53     4.84    -2.95    67.09    0.593
    23.67   -15.00    -6.13    23.79   -14.90    -6.07    0.179
   -30.70   -32.05   -14.97   -30.64   -31.73   -15.04    0.335
   -38.45   -18.57   -38.73   -38.28   -18.35   -38.58    0.308
   -40.37   -19.51   -34.74   -40.32   -19.44   -34.67    0.109
     0.23     0.57    67.05     0.15     0.61    66.96    0.122
    -7.12   -19.25    -3.91    -6.99   -19.27    -4.17    0.285
    33.94    24.42   -18.56    33.83    25.23   -18.51    0.816
   -19.16     6.25    -9.29   -19.12     6.14    -9.40    0.155
    29.67   -11.83   -13.55    29.98   -12.16   -13.74    0.488
     1.38    -8.53    50.78     1.43    -8.67    50.78    0.143
    -2.74     8.83    -3.47    -2.74     8.84    -3.46    0.013
     2.53   -11.21    13.23     2.33   -11.42    13.30    0.294
    13.42    28.03     1.83    13.79    27.72     1.81    0.478
    13.30    26.75     5.91    13.46    26.34     5.80    0.453
   -35.31   -18.24    -2.84   -35.32   -18.24    -2.82    0.027
     2.28    16.63    39.10     1.96    17.46    39.18    0.891
    -4.34    -3.93    27.39    -4.86    -4.30    27.42    0.640
    -6.17    15.88    12.81    -6.27    15.83    12.75    0.132
     9.73   -17.35     0.30     9.75   -17.19     0.23    0.174
    -4.71    -5.26    51.16    -4.94    -5.38    51.13    0.263
    -6.71     7.75     9.70    -6.83     7.84     9.69    0.151
   -29.19     6.37    -9.30   -29.22     6.34    -9.04    0.257
     2.38    14.64     3.95     3.06    14.33     4.02    0.747
    -4.07     8.41   -10.30    -3.99     8.05   -10.32    0.369
   -10.03     6.29    57.81   -10.53     6.40    57.86    0.512
    18.71    26.46   -28.37    18.89    26.39   -28.30    0.206
    -0.10    -8.15    48.60    -0.18    -8.47    48.58    0.334
    24.57   -14.15    -6.73    24.52   -14.22    -6.89    0.180
    24.77     0.07     9.93    24.75     0.25     9.83    0.206
   -25.87    11.79   -15.43   -25.92    11.91   -15.34    0.157
    -3.15    -5.70    35.33    -3.07    -5.62    35.35    0.118
   -22.11   -21.78   -45.30   -22.14   -21.65   -44.93    0.393
     1.86   -12.56     2.16     1.85   -12.63     2.17    0.067
    17.64   -20.27    -6.51    17.67   -20.10    -6.59    0.200
    38.26    18.52   -20.77    38.75    18.67   -20.71    0.526
   -13.01     7.31    -9.82   -13.20     7.38   -10.13    0.367
   -38.59   -20.62    -8.07   -39.13   -20.84    -7.87    0.615
    -9.95     5.16    53.67   -10.58     5.23    53.62    0.638
    -8.59    -2.80    17.28    -8.62    -2.82    17.29    0.035
    10.76    -2.46    58.28    10.63    -1.96    58.36    0.524
     1.77   -10.93    18.67     1.78   -10.85    18.65    0.088
   -12.32    -0.40     4.65   -12.41    -0.38     4.67    0.097
    18.85    19.63    32.85    18.71    19.60    32.85    0.149
    28.25   -10.04   -24.66    28.11    -9.86   -24.61    0.233
    18.82    26.71   -22.16    18.74    26.86   -22.16    0.176
    35.36    12.70     5.62    35.53    12.81     5.80    0.264
    -0.12   -23.63   -10.80    -0.21   -23.27   -10.89    0.382
   -31.04   -26.46    -5.29   -31.14   -26.61    -5.01    0.331
    15.42     6.20    48.96    15.43     6.20    48.96    0.005
   -11.28     6.38    -8.90   -11.23     6.02    -9.13    0.436
    -4.89    21.97    28.14    -4.66    22.78    28.53    0.922
     2.87    -8.52    32.82     2.75    -8.50    32.82    0.117
    14.46    19.36   -11.31    14.34    19.51   -11.36    0.197
    -5.99   -26.84   -29.42    -5.89   -26.93   -29.44    0.139
     6.92    21.74     2.22     7.07    21.69     2.28    0.169
    -5.77   -23.11    -4.81    -5.65   -22.43    -5.09    0.746
     1.67    14.43    53.90     1.53    14.64    53.94    0.259
   -39.43   -18.19    -6.84   -39.78   -18.34    -6.74    0.399
    20.54    16.39    29.27    20.78    16.35    29.40    0.266
   -38.47     1.47   -37.29   -38.77     1.62   -37.39    0.344
   -17.00    16.90   -22.02   -16.89    17.30   -22.00    0.418
     3.83    14.90    66.95     3.59    15.59    67.71    1.047
     7.11    15.34    -3.42     6.85    15.44    -3.58    0.324
     4.16   -17.87    -8.13     4.22   -17.94    -8.14    0.091
    -5.17    -5.20    50.90    -5.16    -5.18    50.91    0.029
    -3.73     8.38   -10.53    -3.67     8.14   -10.54    0.252
    12.08    -3.78    37.88    12.02    -3.66    37.89    0.138
    38.06    18.44   -11.83    37.51    18.11   -11.86    0.649
    38.45    -2.27   -13.75    38.25    -2.05   -13.70    0.308
    -9.92     1.73    49.93    -9.23     2.33    49.63    0.969
    -4.20    13.54    11.65    -4.17    13.53    11.75    0.099
    26.21   -16.72   -18.34    25.54   -16.47   -18.06    0.765
    32.53    25.27   -21.99    32.63    25.96   -21.87    0.710
   -31.10   -18.99    -0.84   -31.12   -18.98    -0.77    0.071
     7.42   -17.19    -6.27     7.69   -16.96    -6.27    0.346
     0.82    10.51    68.14     0.91    10.59    67.88    0.288
   -14.23     9.84    31.87   -14.27     9.79    31.87    0.052
    36.16    -0.85   -29.81    35.79    -0.85   -29.63    0.407
    -1.80    21.10    17.15    -1.88    21.77    17.04    0.686
   -33.16     9.32   -29.85   -33.07     9.07   -29.79    0.271
   -36.11   -26.41   -12.12   -36.39   -26.62   -11.94    0.387
    13.88    -6.31    14.69    13.95    -6.80    15.15    0.677
   -32.19   -22.08    -2.38   -32.14   -22.07    -2.42    0.065
   -38.83   -26.54   -19.66   -38.89   -26.55   -19.65    0.058
   -32.80   -14.82   -44.26   -33.06   -15.25   -44.71    0.671
    11.04    24.88     9.33    11.07    24.76     9.30    0.125
    -2.37    15.71    11.35    -2.10    15.70    11.72    0.457
   -28.48     0.01    -6.29   -28.62    -0.31    -6.64    0.487
    18.40    20.68   -31.79    18.34    20.68   -31.81    0.067
   -25.04   -32.36   -33.33   -25.00   -32.22   -33.04    0.326
   -22.11   -31.41   -10.19   -22.30   -32.12    -9.80    0.834
   -32.20    -7.84   -45.41   -32.22    -7.83   -45.45    0.041
    -1.91    -7.27    46.99    -1.91    -7.26    46.99    0.008
   -19.19    -3.40    -2.23   -19.03    -3.65    -2.60    0.478
   -43.12   -15.09   -31.72   -43.61   -15.00   -31.87    0.521
    32.18    24.15    -5.20    32.17    24.08    -5.22    0.073
    -9.34     8.20   -11.01    -9.27     7.71   -11.33    0.589
     1.61    -9.62    23.86     1.62    -9.55    23.85    0.074
   -32.47    10.58   -23.60   -32.21    10.21   -23.55    0.452
    -5.30     7.75    -9.42    -5.36     7.88    -9.42    0.147
     4.78    16.92    59.91     4.54    17.20    59.87    0.377
   -11.71    14.97   -26.86   -11.75    14.92   -26.85    0.063
    -5.76    18.95    11.97    -5.84    19.04    11.87    0.163
     3.43    -8.83   -28.30     3.71    -8.57   -28.93    0.736
    17.55    -4.78   -28.71    17.87    -4.73   -27.97    0.810
    17.99    -7.23     6.85    18.17    -7.52     7.07    0.405
     3.16    -3.58   -28.07     3.15    -3.58   -28.05    0.020
   -22.42     3.99    -8.18   -22.30     4.10    -8.36    0.252
   -10.65    -8.58   -45.06   -10.47    -8.59   -45.41    0.386
    17.51    16.12    40.02    17.34    16.11    40.00    0.181
     2.11    11.58    68.78     1.98    11.58    69.04    0.294
   -27.88   -33.77   -26.14   -27.88   -33.63   -26.13    0.134
    -4.28   -25.26   -29.79    -4.18   -25.43   -29.94    0.239
    -7.11    -3.22    49.01    -7.19    -3.32    48.97    0.135
   -17.79   -19.14   -45.51   -17.86   -19.06   -45.23    0.302
     2.33   -22.61   -27.88     2.06   -22.42   -27.76    0.357
    -1.14    -8.41    18.44    -1.00    -8.33    18.50    0.167
    18.77    21.91   -19.09    18.43    21.97   -19.10    0.351
    14.67    28.76     2.28    14.66    28.57     2.12    0.246
    36.12     0.79     3.26    36.18     0.73     3.28    0.086
    32.66    24.38    -9.28    32.68    24.54    -9.28    0.168
    39.01    10.23   -27.99    39.39    10.09   -28.19    0.452
    10.95    -5.43   -26.15    10.88    -5.06   -25.87    0.467
    12.05    20.30    -8.34    12.31    20.42    -8.09    0.378
    -3.51   -21.53    -4.15    -3.41   -21.65    -4.09    0.170
    -9.97    12.30   -28.76    -9.62    12.77   -28.95    0.615
    -6.78    18.41    11.98    -6.79    18.43    11.96    0.030
    -9.07     1.50    14.52    -8.85     1.50    14.50    0.223
   -39.17   -21.77   -10.78   -39.43   -21.96   -10.66    0.348
   -25.48   -33.17   -11.55   -25.50   -33.46   -11.59    0.288
     7.40    -5.71    54.84     7.67    -6.36    54.82    0.698
   -44.71    -6.96   -14.91   -44.26    -6.89   -15.05    0.477
     7.28    -6.95    29.15     6.99    -6.81    29.13    0.326
    15.44     0.78    38.69    15.13     1.01    38.63    0.392
     7.16    21.70     0.55     7.57    21.51     0.64    0.459
    39.02     7.44     2.77    39.46     7.41     3.00    0.497
    25.08    28.75   -28.24    24.83    28.44   -28.08    0.423
    14.73    28.86     1.91    14.72    28.80     1.85    0.091
    -4.20    -5.14    37.70    -3.83    -4.85    37.73    0.472
    -9.40     5.37    41.02    -8.42     5.51    41.41    1.070
    14.82    22.14   -10.71    14.47    22.13   -10.98    0.444
    26.65    23.09     8.55    26.74    23.25     8.61    0.198
    31.69    -7.40   -11.31    32.00    -7.94   -11.11    0.654
    40.13    13.93   -18.97    40.41    13.94   -19.03    0.284
    24.35    23.47   -33.66    24.30    23.35   -33.59    0.147
    -5.79    21.35    19.70    -5.80    21.33    19.72    0.031
   -38.06   -12.88   -42.77   -37.93   -12.81   -42.62    0.212
    -7.25   -19.14    -3.72    -7.02   -19.23    -4.19    0.527
     2.36    21.11    13.49     2.12    21.61    13.47    0.551
     0.44    14.05    55.47     0.55    13.77    55.35    0.319
    19.18    20.24   -33.29    18.88    20.11   -33.40    0.353
   -16.32    -3.25   -45.73   -16.63    -3.40   -45.49    0.415
     6.74    11.59   -14.95     6.71    11.47   -14.92    0.123
   -42.72   -14.54   -11.21   -42.30   -14.48   -11.41    0.470
   -22.34   -32.41   -10.94   -22.36   -32.52   -10.92    0.119
     0.54     3.18    65.88     0.53     3.22    65.92    0.057
    -8.48   -15.79    -1.79    -8.48   -15.73    -1.82    0.068
    -2.95    14.02    44.18    -3.04    14.13    44.04    0.195
    -0.54   -17.71   -34.32    -0.54   -17.71   -34.33    0.010
    31.91    24.59    -6.84    31.90    24.57    -6.85    0.025
    18.47     2.23   -28.93    18.52     2.20   -28.74    0.204
   -34.05   -12.72     0.03   -34.22   -12.67     0.53    0.526
    -2.57    10.38   -18.71    -2.73    10.86   -18.62    0.518
     3.23     0.91    66.66     2.63     1.57    67.43    1.178
   -25.94   -34.66   -19.02   -26.00   -34.44   -19.01    0.223
    15.00     7.86    51.69    15.53     7.79    51.74    0.542
    -9.60     7.60   -10.37    -9.55     7.21   -10.62    0.466
     6.04    22.12    16.23     5.99    22.49    16.27    0.371
   -37.47   -23.14   -35.16   -37.33   -23.07   -35.07    0.189
    -6.52    20.20    15.61    -6.54    20.02    15.64    0.186
     0.01     3.71   -28.07    -0.31     3.78   -27.57    0.604
   -25.70    -4.78   -46.63   -25.81    -4.65   -46.89    0.312
    15.93    -2.92    24.21    16.78    -3.33    24.34    0.952
    -3.78    21.42    17.70    -3.80    21.69    17.65    0.282
   -13.57    -0.66   -44.86   -13.95    -0.71   -43.98    0.957
     7.84    20.36    -0.81     7.45    20.54    -0.89    0.429
    -4.13   -14.93   -37.07    -4.47   -15.23   -36.59    0.655
    -9.11    -4.07    65.51    -8.98    -4.07    65.45    0.153
    10.64    24.17    11.87    10.63    24.19    11.88    0.025
     5.34   -19.30   -20.61     4.81   -19.10   -20.75    0.586
    -8.15   -29.76   -30.75    -8.01   -29.87   -30.81    0.189
     0.27    -8.48   -30.87     0.55    -8.37   -31.14    0.401
    18.90    19.46    35.88    18.93    19.46    35.87    0.033
    -6.79   -27.07    -9.15    -6.87   -27.05    -9.18    0.088
    33.17     7.59     8.05    32.93     7.60     7.63    0.477
   -26.64   -31.96   -10.81   -26.65   -31.95   -10.81    0.013
    -0.31    15.85     9.59    -0.29    15.62     9.92    0.411
   -33.55     1.10   -40.41   -33.57     1.06   -40.30    0.115
   -41.18   -20.73   -13.92   -41.40   -20.83   -13.90    0.239
    41.60     6.67   -21.95    41.42     6.72   -21.97    0.192
   -18.96   -32.74   -11.53   -19.04   -32.50   -11.63    0.271
     0.31     0.56   -28.57     0.19     0.37   -28.05    0.568
   -29.82   -25.62   -39.79   -29.95   -25.93   -39.93    0.357
    11.76    23.37    -6.15    12.82    22.74    -5.93    1.258
    39.61    14.29   -22.18    39.68    14.28   -22.15    0.086
    -8.19    -4.64    11.26    -8.13    -4.83    11.26    0.200
     3.99    16.43     2.27     4.00    16.44     2.28    0.012
     9.20    -7.59   -25.56     8.96    -7.74   -25.26    0.411
    10.30   -17.31     0.03    10.29   -17.36     0.06    0.063
    15.31    27.23    -9.48    15.47    27.08    -9.44    0.224
    -4.69    -5.25   -35.18    -4.55    -5.08   -35.05    0.252
    -1.59    -6.59    68.01    -1.69    -6.56    67.28    0.734
     6.97   -15.62     0.67     7.09   -15.54     0.63    0.150
   -38.66     6.29   -22.03   -39.29     6.70   -21.81    0.785
    20.33    30.30    -5.49    20.54    30.74    -5.16    0.591
     2.45    15.20    48.00     2.21    15.83    47.97    0.670
   -39.67   -24.58   -18.90   -39.75   -24.61   -18.89    0.085
   -37.51     3.18   -35.98   -37.76     3.44   -36.00    0.361
   -24.19    15.82   -26.85   -24.20    15.93   -26.88    0.113
    30.42    24.60    -1.64    30.18    24.03    -1.69    0.615
    -6.10    18.10    10.62    -6.09    18.09    10.61    0.025
   -15.71     3.59   -41.97   -15.74     3.41   -41.79    0.255
   -34.83     8.25   -26.66   -35.08     8.92   -26.78    0.728
   -20.06    11.26   -33.72   -19.98    11.43   -34.00    0.338
   -28.22   -21.98   -44.02   -28.13   -21.75   -43.61    0.473
    40.00    14.00    -8.89    39.69    13.14    -9.28    0.989
    -1.25    10.22    67.34    -1.21    10.25    67.09    0.254
     4.74     2.87   -24.80     4.77     2.57   -24.09    0.763
   -20.92    -9.95   -47.80   -21.00    -9.96   -47.51    0.301
    36.32    -4.44   -26.38    36.73    -4.68   -26.21    0.501
    -8.47    -1.18    20.25    -8.44    -1.19    20.24    0.030
   -17.75   -33.91   -28.41   -17.79   -33.78   -28.40    0.134
   -23.19     6.07   -40.09   -22.96     6.74   -40.49    0.816
   -23.65     5.86   -40.37   -24.13     6.06   -41.13    0.920
    26.19     1.69    10.09    26.35     1.59    10.29    0.270
   -36.01   -27.18   -31.13   -37.33   -27.88   -31.12    1.499
     0.52   -15.76    -2.98     0.38   -15.73    -3.12    0.206
    26.09    -6.40     1.11    25.57    -6.60     0.70    0.695
     7.90    -5.87    51.63     7.99    -6.09    51.63    0.240
     3.02   -11.71    17.00     3.02   -11.70    17.00    0.006
     6.33    -0.54   -26.22     6.31    -0.56   -26.17    0.056
     8.49     1.21   -25.45     8.61     0.93   -25.15    0.432
   -37.20     7.20   -24.65   -37.43     8.19   -24.31    1.073
   -39.86   -17.77   -37.44   -39.90   -17.81   -37.46    0.062
   -38.10     6.80   -23.70   -38.31     7.68   -23.40    0.949
    -7.97     6.43    -6.09    -7.96     6.24    -6.17    0.208
   -42.94    -3.40   -30.50   -43.20    -3.38   -30.60    0.281
    19.97    19.06   -33.32    19.90    18.77   -33.63    0.435
   -23.18    12.09   -32.85   -23.29    12.83   -33.73    1.155
    -8.22    -1.20    49.32    -8.09    -1.22    49.33    0.124
    -4.31    -5.41   -35.88    -4.33    -5.40   -35.86    0.032
    -7.64     8.96    57.97    -8.26     9.92    57.35    1.298
    29.14    -9.87   -22.75    29.01    -9.71   -22.70    0.215
    11.32    -7.35    17.31    11.29    -7.56    17.31    0.216
   -20.70   -25.22    -3.67   -20.38   -25.35    -3.96    0.445
    -7.42     9.88    59.12    -7.60    10.97    59.13    1.102
    -8.78     7.26    50.75    -8.77     7.26    50.76    0.014
    34.33    21.20    -5.99    34.68    21.40    -5.90    0.412
   -11.75     9.78   -13.39   -11.77    10.07   -13.31    0.297
     5.76    -6.85    52.04     5.82    -6.99    52.04    0.151
     6.12    10.12   -19.16     6.31    10.31   -19.42    0.372
     7.48    -5.01    60.83     7.43    -4.98    60.83    0.055
     0.87   -10.14    11.26     0.57   -10.32    11.20    0.353
    -3.22    19.90    11.97    -3.12    19.73    12.17    0.279
     3.63    16.78     2.78     3.54    16.69     2.75    0.131
    -6.32   -12.40     2.87    -6.45   -12.56     2.99    0.233
   -43.45   -12.95   -32.57   -43.08   -13.01   -32.44    0.397
    -9.77   -21.11    -3.88    -9.93   -20.85    -4.77    0.942
     8.34    -7.17    23.91     8.46    -7.25    23.98    0.159
   -14.95     9.77    28.97   -14.79    10.07    28.95    0.334
    19.53   -11.96    -0.00    19.43   -11.97    -0.09    0.135
     8.14    -6.47    27.33     7.42    -6.10    27.30    0.807
    29.38    18.30    12.62    29.63    18.35    12.67    0.266
    13.90    10.24    56.07    14.56    10.51    56.13    0.713
   -37.65   -12.02    -1.62   -37.99   -12.19    -1.36    0.464
    26.95     7.91   -34.58    26.68     7.95   -34.95    0.466
    39.26    14.49   -23.01    39.35    14.39   -23.32    0.336
    -8.63    12.58    38.13    -8.53    12.50    38.15    0.126
    12.16    20.19    35.35    12.18    20.50    35.32    0.314
    -5.46   -22.15    -4.04    -5.44   -22.05    -4.08    0.112
   -38.70   -24.74   -13.37   -38.65   -24.80   -13.27    0.124
    -0.01   -17.12   -34.30    -0.01   -17.11   -34.28    0.018
    -4.74    16.86    11.06    -4.78    16.38    11.11    0.491
    15.85    20.94    23.82    15.83    20.88    23.70    0.139
    15.65    -2.41    27.23    16.40    -2.72    27.42    0.835
    14.46    -8.71     9.84    14.50    -8.73     9.86    0.046
   -24.54   -28.27   -38.37   -24.50   -27.87   -38.25    0.418
     6.49    -7.34    33.21     6.44    -7.69    33.20    0.346
    10.81    -6.80    20.45    10.79    -6.77    20.43    0.037
   -14.65     2.09    -3.66   -14.55     1.73    -3.92    0.455
   -13.44   -25.23   -40.82   -13.50   -25.49   -40.87    0.270
    -3.62   -21.91    -4.36    -3.61   -21.94    -4.35    0.028
   -43.58    -0.69   -28.37   -43.10    -1.13   -28.24    0.662
    27.80    27.37    -6.99    27.57    27.08    -6.94    0.373
    38.38    -0.05    -0.00    37.87     0.61    -0.47    0.960
    28.33    -9.72    -8.51    28.21    -9.57    -8.59    0.207
     0.18    14.54    45.62    -0.56    15.45    46.00    1.237
   -12.09   -24.55   -41.06   -12.26   -24.62   -41.64    0.603
    -3.22    -6.92    14.55    -3.12    -6.90    14.41    0.181
   -12.86   -27.53    -7.22   -13.07   -27.28    -7.49    0.428
     7.57    -8.59    22.17     7.19    -7.95    22.09    0.748
    27.13     9.33    13.97    27.13     9.33    13.97    0.006
    -7.17     7.73    11.46    -7.23     7.78    11.45    0.076
    -2.04    17.01     8.53    -1.98    16.83     8.53    0.190
    25.79   -14.35    -7.90    25.91   -14.10    -7.26    0.694
     6.06    17.64    41.87     6.12    17.56    41.83    0.101
     0.17    13.81    60.20     0.15    13.87    60.20    0.067
   -11.73     9.20    34.91   -11.57     9.14    34.69    0.275
     7.07    -3.36   -26.72     7.04    -3.44   -26.81    0.125
    -4.54   -25.68   -29.23    -4.45   -25.93   -29.37    0.300
   -37.04    -1.86    -3.63   -37.05    -1.85    -3.62    0.017
    25.38   -18.71   -16.58    25.33   -18.70   -16.56    0.061
     1.58    -9.51    24.43     1.58    -9.49    24.43    0.017
    -8.46   -24.04    -5.76    -8.33   -23.94    -6.09    0.365
   -29.96   -22.02    -0.73   -29.96   -22.01    -0.73    0.014
    17.89     7.57   -24.25    17.45     7.96   -24.70    0.739
    16.33    23.66   -13.39    16.30    23.66   -13.41    0.037
   -16.17   -26.90    -4.20   -16.13   -26.92    -4.17    0.052
    31.09    15.39   -33.90    31.15    15.46   -34.01    0.142
    -4.41     9.98   -22.67    -4.40    10.00   -22.67    0.025
     8.28    -5.41    49.54     8.44    -5.79    49.51    0.412
    -0.64    -9.15    59.89    -0.63    -9.04    59.89    0.108
    18.36    15.80    36.18    17.98    15.75    36.12    0.389
    -8.43    12.47   -22.73    -7.90    13.16   -22.68    0.874
     1.12    -7.26    68.17     1.22    -7.23    67.82    0.365
   -30.78   -19.85   -44.36   -30.76   -19.94   -44.49    0.158
    22.78   -12.23   -24.98    22.75   -12.27   -25.01    0.055
    16.41    -3.78    19.63    16.55    -4.12    19.74    0.377
    22.28     0.22    13.66    22.38     0.14    13.69    0.136
   -26.93   -30.84   -34.91   -26.84   -30.33   -34.53    0.644
    11.17     3.00   -25.48    10.97     3.04   -25.82    0.394
    40.83    -0.13   -15.32    40.49     0.20   -15.26    0.481
   -32.61   -20.34    -1.86   -32.34   -20.26    -2.06    0.345
   -30.77   -28.06   -36.60   -30.73   -27.90   -36.48    0.204
   -44.36   -10.45   -13.10   -44.07   -10.55   -13.20    0.317
    -9.31     8.15   -11.25    -9.26     7.81   -11.48    0.411
   -45.18    -4.88   -17.02   -44.99    -5.07   -17.08    0.274
   -35.36     5.23   -35.39   -35.32     5.09   -35.24    0.212
     0.27    13.28    67.45     0.01    13.22    67.90    0.522
    14.51     5.50   -24.51    14.19     6.21   -24.93    0.886
   -43.35    -8.56   -21.02   -43.01    -8.32   -20.83    0.457
    33.70    20.43    -0.86    33.90    20.49    -0.81    0.211
    -5.23    -3.03    24.25    -5.80    -3.48    24.11    0.735
    34.37    -4.14    -2.19    33.99    -3.84    -2.51    0.582
    22.06    -2.19    11.28    22.02    -2.20    11.25    0.056
    34.39    23.67   -12.96    34.23    23.49   -13.01    0.247
    23.73    -0.68    10.32    23.19    -0.36    10.16    0.655
    32.64    25.34   -21.29    32.70    25.83   -21.20    0.502
    19.65    23.78    13.10    19.57    24.24    13.28    0.504
     0.63    -9.39    61.93     0.64    -9.17    61.95    0.224
    -2.88    15.76    11.34    -3.08    15.26    11.72    0.661
    21.59    20.48    21.43    21.60    20.50    21.43    0.024
   -27.97   -22.27    -0.65   -27.96   -22.27    -0.57    0.083
    11.55    -6.89    17.35    12.02    -7.25    17.65    0.662
    22.63    24.83   -34.18    22.55    24.80   -34.19    0.081
    16.62    12.11    42.63    16.90    12.07    42.72    0.292
    24.08    29.22    -5.97    24.34    29.61    -6.05    0.475
     5.73    17.50     0.73     5.62    16.95     0.57    0.581
    19.72   -13.90   -22.19    19.71   -13.71   -21.90    0.344
