400 PA5-F-Debug-Output.txt
      -140.3130        22.2898        80.6816        66.7747       -46.6550       -35.7541
    16.23   -13.83    -9.65    15.99   -13.32    -9.25    0.690
   -14.15   -24.05   -12.44   -14.05   -23.93   -12.66    0.270
   -28.41   -31.46   -33.16   -28.46   -31.58   -33.19    0.134
    29.90    17.50    13.28    29.66    17.31    13.26    0.303
     9.86    24.51    -4.26     9.94    24.84    -4.39    0.363
     7.07    25.50    31.57     7.16    25.18    31.52    0.333
    -2.23    -4.05    54.22    -2.02    -3.72    54.22    0.394
    -7.48   -12.56     4.41    -7.37   -12.36     4.35    0.231
   -14.92     5.97   -42.95   -15.09     5.72   -42.79    0.343
     9.34    24.83    35.39     9.53    24.11    35.20    0.768
    16.02     4.93    56.53    16.13     5.03    56.27    0.290
    -9.13     7.64   -15.26    -9.26     7.26   -15.25    0.398
    -9.51   -18.97    -6.37    -9.50   -18.87    -6.41    0.104
    17.57   -11.66     5.81    17.53   -11.28     5.70    0.395
   -31.60     0.89   -14.17   -31.49     0.81   -14.28    0.171
   -38.06     0.81   -38.43   -37.54     0.76   -38.12    0.611
    -1.99   -11.64    18.55    -2.01   -11.61    18.53    0.044
    39.30     8.41     5.68    38.62     8.14     5.75    0.730
    -3.79   -13.96     3.61    -3.76   -13.68     3.23    0.471
    15.30   -15.84    -3.66    15.33   -15.79    -3.64    0.049
   -18.22    17.94    21.29   -18.26    17.91    21.28    0.047
    29.61     3.95   -22.17    29.82     3.81   -22.44    0.366
    29.33     2.70    40.48    29.31     2.70    40.47    0.026
    30.10     1.43    36.00    30.23     1.36    36.04    0.149
    13.76    15.66   -27.25    13.75    15.68   -27.20    0.058
   -20.48   -20.43    -9.12   -20.62   -20.41    -8.50    0.641
   -17.70    17.31    20.29   -17.68    17.31    20.27    0.020
    -1.16    21.55     9.57    -1.01    21.37     9.76    0.300
   -12.12    11.63    21.55   -12.71    11.25    21.90    0.779
   -26.53   -22.72   -10.85   -26.57   -22.94   -10.56    0.363
    11.70    26.98    22.59    11.70    27.00    22.59    0.019
    28.41    19.99    -4.76    28.26    19.87    -4.70    0.204
    25.70    12.74    39.12    25.76    12.77    39.11    0.066
     4.50     5.73   -11.55     4.63     6.02   -11.86    0.440
   -39.29    -8.13   -40.42   -39.21    -8.15   -40.40    0.081
   -25.96    11.66   -29.47   -25.95    11.57   -29.46    0.096
    -2.88    -5.73    34.09    -3.00    -6.52    34.22    0.809
   -32.26   -18.55   -11.49   -32.55   -18.66   -10.91    0.659
    -2.38   -22.76   -14.66    -2.36   -22.80   -14.66    0.041
   -25.25   -27.76   -42.03   -25.26   -27.67   -41.96    0.111
    31.85    11.44   -17.16    31.61    11.27   -17.08    0.303
   -37.47   -14.12   -13.78   -37.38   -14.10   -13.83    0.107
    19.75   -10.22     6.88    19.59   -10.05     6.77    0.260
   -20.32   -21.45    -9.67   -20.40   -21.80    -9.34    0.488
    27.57     4.03    48.87    27.38     4.05    48.83    0.190
    25.60    13.29    36.67    25.35    13.10    36.64    0.310
    22.97    14.92    48.37    22.49    14.60    48.80    0.720
   -19.46    -0.46   -49.59   -19.24    -0.33   -49.81    0.343
     3.31    -7.71    34.68     3.32    -7.80    34.68    0.097
    -6.38     6.94    51.48    -6.35     6.91    51.49    0.046
   -35.17    -1.50   -45.38   -35.23    -1.45   -45.57    0.204
    29.36     9.36   -24.00    29.89     9.13   -23.74    0.637
    -6.16     1.22    33.50    -6.15     1.22    33.49    0.008
    -8.21   -23.09    -9.73    -8.19   -23.19    -9.64    0.136
    -5.38    -0.82    45.02    -5.05    -0.59    45.05    0.397
   -17.95    10.56   -34.17   -17.95    10.43   -34.13    0.131
    29.29    -2.81    28.92    29.42    -2.91    28.94    0.160
    25.22    -8.05   -18.53    25.03    -8.14   -19.10    0.599
   -15.42   -10.80   -49.82   -15.68   -10.73   -49.15    0.720
    -7.70   -27.65   -26.39    -8.05   -26.93   -26.47    0.804
     7.70    22.61    41.97     7.72    22.16    41.78    0.488
    16.30    27.35     7.56    16.13    26.85     7.64    0.537
    15.01    -6.24    25.91    15.01    -6.65    25.98    0.412
    11.14    -6.93    36.49    11.14    -6.96    36.49    0.031
    10.57    26.55     1.75    10.48    26.31     1.85    0.279
    -2.53    15.83     3.83    -2.02    15.09     3.95    0.906
   -25.28   -32.00   -34.49   -25.32   -31.62   -34.36    0.408
     6.12    13.63    -3.92     6.19    13.57    -3.82    0.141
    28.48    11.56   -23.30    28.22    11.38   -23.07    0.392
    27.20   -11.47   -17.95    27.30   -11.51   -18.07    0.160
    23.39    -2.99    56.26    23.50    -3.03    56.33    0.142
   -38.77   -17.36   -16.30   -38.43   -17.07   -16.51    0.492
     0.61    -6.99   -26.66     0.64    -6.96   -26.72    0.072
   -11.78     8.75   -24.63   -11.98     7.99   -24.71    0.787
    -6.49     3.39    37.01    -6.76     3.35    37.12    0.295
    36.82    11.89     0.99    37.01    12.22     1.01    0.386
     8.67   -16.21    -2.30     8.52   -15.88    -2.47    0.403
    18.23   -14.18    -8.85    18.22   -14.18    -8.85    0.009
    34.87    -3.84    10.38    34.97    -4.03    10.31    0.222
    13.93    25.52    36.16    13.99    25.35    36.13    0.181
   -37.70   -21.67   -17.69   -37.74   -21.67   -17.67    0.041
     6.95    -6.15   -19.83     7.10    -6.26   -20.05    0.294
    29.48     9.11   -23.99    29.90     9.01   -23.86    0.454
    34.04     4.54    21.30    33.68     4.54    21.13    0.401
   -13.11   -16.57   -48.31   -12.83   -16.73   -48.83    0.607
     4.59    10.58    -5.48     4.61    10.94    -5.84    0.506
   -37.18   -21.09   -16.78   -37.14   -21.02   -16.95    0.184
   -15.77    -6.92     4.38   -15.97    -6.98     4.57    0.278
     4.02    24.51    32.98     4.25    24.00    32.66    0.651
     5.87   -14.61     2.07     5.86   -14.76     2.12    0.158
    -9.95    -6.87    12.48    -9.90    -6.84    12.46    0.064
   -37.01   -18.71   -43.30   -36.95   -18.67   -43.21    0.116
   -16.55     3.83     9.04   -16.34     3.90     8.99    0.227
    33.06     8.11    21.29    33.07     8.11    21.28    0.018
    -9.89    30.00    22.98    -9.94    29.75    23.02    0.253
    35.19    -1.20    -5.36    34.92    -0.92    -5.32    0.397
    13.66    24.69   -13.17    13.52    25.21   -13.15    0.537
   -22.61   -32.69   -25.92   -22.63   -32.47   -25.93    0.220
    27.59     4.70    49.19    27.38     4.72    49.14    0.216
     0.44    13.59    55.52     0.14    13.85    56.21    0.796
    21.43   -12.19     0.37    21.43   -12.20     0.36    0.007
     1.66   -11.16   -27.60     1.36   -11.26   -27.45    0.353
    -5.85     7.57    54.32    -5.94     7.63    54.31    0.098
    -5.49    -0.48    48.45    -5.31    -0.37    48.46    0.209
   -18.19     8.35   -16.14   -18.19     8.31   -16.16    0.043
    30.33     9.54    27.92    30.67     9.81    27.99    0.438
   -35.03   -27.61   -34.88   -34.69   -27.49   -34.87    0.357
    26.27    -0.35    52.39    26.19    -0.33    52.39    0.076
   -38.81   -16.53   -40.20   -38.90   -16.53   -40.22    0.094
   -30.06   -28.38   -39.09   -30.29   -28.75   -39.39    0.528
    12.08     7.71   -11.99    11.93     7.62   -12.04    0.180
   -37.49   -22.08   -39.55   -37.60   -22.19   -39.64    0.178
   -12.14   -18.11    -6.56   -12.05   -17.81    -6.81    0.401
    -8.35    19.29    11.57    -8.28    19.45    11.39    0.254
     9.61     6.20    -9.37     9.54     6.06    -9.25    0.191
    26.39     1.06   -24.03    26.39     1.05   -24.04    0.008
   -40.84   -16.77   -18.37   -40.53   -16.48   -18.70    0.533
   -36.15     6.56   -24.64   -36.50     6.92   -24.47    0.535
    31.14    -0.68    29.52    30.61    -0.45    29.48    0.575
    28.33     0.95    44.12    28.46     0.91    44.12    0.134
    -1.20    24.26    35.19    -1.33    24.00    35.10    0.300
    27.55     3.79    49.99    27.12     3.83    49.89    0.438
     2.12   -21.10   -14.65     2.01   -20.76   -14.60    0.358
   -13.62   -25.21   -13.87   -13.62   -25.21   -13.87    0.006
    -2.78   -14.65     2.81    -2.79   -14.52     2.62    0.239
    35.57    -2.95    12.23    36.12    -3.92    12.17    1.114
   -20.08     7.65   -16.15   -20.11     7.70   -16.10    0.069
    11.42    24.85    36.17    11.56    24.48    36.10    0.398
     8.18    17.84   -14.38     8.41    17.99   -14.38    0.274
   -20.30   -20.56   -48.95   -20.28   -20.62   -49.06    0.127
   -19.25    21.15    18.05   -19.16    21.03    18.12    0.162
    23.69    -4.40    54.14    24.28    -4.58    54.57    0.754
    -5.23   -20.63    -7.32    -5.23   -20.67    -7.31    0.041
    27.36    -0.83    46.82    27.00    -0.53    46.71    0.492
   -30.71   -26.77   -17.14   -30.68   -26.63   -17.24    0.169
     8.56    20.90    50.04     8.53    21.00    50.03    0.104
   -19.99   -28.67   -16.02   -20.32   -27.85   -16.34    0.935
   -12.83   -27.91   -19.78   -12.85   -27.88   -19.81    0.048
    -3.94    20.48    11.29    -4.05    20.55    11.12    0.213
    -6.24     2.61    48.08    -6.70     2.70    48.13    0.474
   -31.93   -30.18   -29.01   -32.28   -30.78   -29.16    0.715
   -26.66     1.77   -13.61   -26.88     1.97   -13.39    0.370
     1.53    18.84     3.32     1.61    18.80     3.34    0.092
     9.44    27.90    11.48     9.32    28.67    11.49    0.782
     8.30   -16.90    -5.12     8.20   -16.69    -5.17    0.232
   -23.49   -10.35    -5.76   -23.51   -10.39    -5.74    0.044
    12.43    -0.26    56.65    12.44    -0.26    56.63    0.024
    -5.85   -26.38   -28.69    -6.28   -25.57   -28.57    0.928
    30.92    16.86    -6.57    31.04    16.98    -6.58    0.174
    27.79     0.63    46.11    27.95     0.62    46.19    0.179
     2.70    24.09     8.07     2.71    24.08     8.07    0.015
    31.01    -1.29    28.99    30.39    -1.02    28.95    0.678
    -3.61   -22.65   -34.85    -3.65   -22.60   -34.78    0.092
   -34.47     7.49   -34.14   -34.57     7.76   -34.22    0.302
     4.30   -19.89   -12.43     4.23   -19.81   -12.48    0.118
    -3.51    23.05    12.59    -3.33    22.87    12.76    0.295
   -39.06   -24.91   -28.40   -39.16   -25.00   -28.41    0.132
     7.54    18.88    -8.41     7.94    19.33    -8.55    0.622
   -18.77   -27.39   -43.14   -18.72   -27.52   -43.30    0.217
   -24.26   -30.19   -38.98   -24.30   -30.27   -39.05    0.116
    -5.79   -10.94   -43.50    -5.68   -10.95   -43.60    0.152
   -35.58     3.90   -40.02   -35.48     3.74   -39.91    0.228
   -41.51   -20.41   -28.84   -41.76   -20.52   -28.86    0.272
   -14.52   -27.83   -41.01   -14.44   -28.00   -41.19    0.261
    22.95    15.36    44.15    23.18    15.72    44.41    0.499
   -34.58     3.35   -41.54   -34.63     3.41   -41.56    0.079
    -0.37   -13.19     9.25    -0.40   -13.48     9.28    0.288
   -39.83   -12.00   -38.13   -39.87   -12.00   -38.14    0.040
    39.45     6.08    -2.43    38.64     6.29    -2.52    0.841
    16.87     0.51   -16.99    16.72     0.47   -17.26    0.310
    16.38    -6.33    39.59    16.40    -6.76    39.59    0.435
    -3.27    -2.88    55.24    -3.24    -2.84    55.23    0.046
     0.64    26.22    30.00     0.43    25.75    29.61    0.648
    28.47    16.97    16.05    28.67    17.14    16.16    0.281
    22.90    -5.76    42.38    22.95    -6.39    42.28    0.640
    32.65    -0.70    24.51    32.21    -0.58    24.31    0.493
     2.27    23.98     9.07     2.23    24.06     9.04    0.098
    27.20    22.37     5.83    28.10    22.87     5.94    1.035
    -9.20    -6.74    14.03    -9.12    -6.68    13.91    0.161
    23.85   -12.01    -2.71    23.85   -12.01    -2.72    0.008
   -39.74     2.56   -30.81   -39.88     2.68   -30.81    0.183
     2.01    18.91    52.65     1.94    19.05    52.59    0.171
    16.66    12.40    55.37    16.63    12.35    55.03    0.350
     9.88    -8.07    50.97     9.90    -7.91    50.96    0.156
    37.07     4.70    14.44    37.50     4.94    14.75    0.588
   -24.92   -32.51   -32.05   -25.05   -31.94   -32.02    0.592
   -24.03    10.60   -37.54   -23.67     9.72   -37.34    0.965
    -2.30     7.58   -12.08    -2.29     7.18   -11.93    0.426
   -39.24   -23.08   -21.79   -39.04   -22.93   -21.87    0.265
   -25.85   -23.18   -11.25   -25.89   -23.46   -10.87    0.473
    34.65     4.24   -13.77    34.84     4.44   -13.94    0.316
    34.34     3.63    20.92    33.86     3.64    20.70    0.526
   -29.61   -25.09   -43.82   -29.57   -25.02   -43.75    0.104
    22.29    -5.94    46.09    22.35    -6.56    46.14    0.622
   -29.54   -13.19    -9.08   -29.58   -13.25    -8.93    0.173
     9.89    24.47    -4.95     9.92    24.60    -5.00    0.138
    15.74   -15.15    -5.80    15.82   -15.04    -5.74    0.150
   -34.81     8.73   -27.45   -34.90     8.86   -27.44    0.154
    -5.31    10.46    45.00    -4.87    10.48    44.84    0.468
   -24.51     8.60   -18.83   -24.52     8.71   -18.71    0.167
   -25.44    10.80   -36.02   -25.21     9.92   -35.46    1.074
   -43.64   -13.70   -29.70   -43.99   -13.53   -29.87    0.423
   -11.53    22.10    33.58   -11.30    22.05    33.26    0.399
    14.28    -6.16    27.05    14.28    -6.46    27.09    0.299
   -23.13     9.46   -20.17   -23.16     9.61   -20.07    0.185
   -24.63   -32.61   -24.77   -24.54   -32.41   -24.78    0.221
    31.57     3.43    30.78    31.45     3.41    30.78    0.122
    10.41    -0.35    56.83    10.64    -0.33    57.24    0.472
   -35.18    -1.97   -45.65   -35.20    -1.95   -45.71    0.064
   -27.37   -31.46   -22.51   -27.37   -31.46   -22.51    0.006
    12.81    26.61     1.66    12.81    26.34     1.73    0.280
   -34.96     2.62   -42.10   -35.02     2.66   -42.15    0.089
    21.32   -11.16     2.69    21.43   -11.36     2.76    0.238
    26.32   -12.63    -8.94    26.26   -12.44    -9.00    0.212
    38.18     3.46     1.44    37.64     3.63     1.35    0.571
   -29.88    -2.81   -48.97   -29.83    -2.86   -48.86    0.127
    -4.91    -6.52    29.20    -5.02    -6.69    29.23    0.209
    31.16    15.46    13.95    30.73    15.26    13.77    0.512
    21.14    -6.92    17.60    21.14    -6.93    17.59    0.008
   -31.23   -30.79   -29.66   -31.43   -31.13   -29.74    0.398
    -8.11     8.01    29.43    -8.35     8.04    29.51    0.256
    17.94   -15.28    -4.02    18.05   -15.58    -4.04    0.328
    -5.73    -0.60    33.53    -5.56    -0.54    33.54    0.183
   -35.50    -8.10   -47.55   -35.42    -8.13   -47.46    0.120
     0.16    -7.27    33.51     0.10    -7.45    33.56    0.195
   -15.87     2.02     9.07   -15.72     2.06     9.01    0.166
   -39.32    -9.26   -40.89   -39.31    -9.26   -40.88    0.004
    36.52     8.09    -7.38    36.38     8.01    -7.29    0.186
    20.60     2.84    56.81    20.58     2.81    56.73    0.088
   -30.13   -16.51   -49.08   -30.21   -16.49   -48.48    0.602
    13.39    28.12    16.60    13.71    28.73    16.70    0.695
   -37.54   -14.05   -45.13   -37.39   -13.94   -45.05    0.213
    -6.97    29.08    21.75    -6.86    28.95    21.90    0.232
    20.88    -7.79   -16.00    21.07    -7.69   -15.94    0.228
     9.77    -7.03    34.69     9.77    -6.72    34.82    0.335
    -5.32    -0.31   -29.56    -5.56    -0.60   -29.57    0.378
    -3.96    28.25    20.96    -4.35    27.65    21.01    0.715
   -12.74     9.15   -15.18   -12.82     8.67   -15.26    0.493
    16.35   -12.61     5.12    15.84   -12.38     4.50    0.836
     0.90    19.22     4.90     0.97    19.13     4.96    0.126
    -2.44   -12.30    14.79    -2.55   -12.87    14.74    0.576
    30.42     4.42    34.89    30.93     4.32    35.14    0.578
    31.46    12.83    16.22    30.83    12.61    15.92    0.732
    27.33    22.05     2.64    28.39    22.84     2.71    1.325
   -25.27   -25.79   -13.18   -25.29   -25.67   -13.26    0.141
    -2.53    -3.96    50.67    -2.50    -3.91    50.65    0.063
    -4.19   -15.21   -40.02    -3.97   -15.30   -40.13    0.258
    22.41    17.85   -22.49    22.44    17.88   -22.56    0.085
    -9.65    12.09    28.23    -9.22    12.28    28.11    0.486
   -14.54     7.72     4.69   -14.47     7.64     4.68    0.100
   -34.16    -0.73   -14.75   -34.07    -0.46   -14.69    0.295
    -4.27     2.70   -22.30    -4.40     2.53   -22.28    0.216
    28.54    21.66     9.14    28.61    21.71     9.16    0.091
    11.36     5.18    56.28    11.32     4.91    55.83    0.522
    14.82    -1.66   -17.02    14.81    -1.71   -16.78    0.250
    31.26    18.75     8.98    30.77    18.44     8.90    0.593
    -9.26     3.47    24.50    -8.73     3.64    24.28    0.596
    22.17   -12.45    -1.14    22.14   -12.35    -1.18    0.111
    34.41    -3.89     9.55    34.47    -3.98     9.50    0.117
   -31.88     9.45   -22.98   -31.93     9.76   -22.91    0.318
    34.28     8.01    16.59    34.37     8.05    16.63    0.103
    29.99    13.36   -19.33    29.40    13.19   -18.98    0.703
    19.95   -12.60     0.80    19.98   -12.72     0.87    0.138
    30.96    -4.86   -18.51    31.37    -5.10   -18.89    0.611
   -16.88   -29.37   -18.86   -16.87   -29.39   -18.84    0.032
    -7.46    -4.98    23.69    -7.33    -4.80    23.70    0.224
     5.33    -9.50    19.53     5.25    -9.15    19.34    0.408
   -24.98     5.60   -16.33   -24.90     5.53   -16.68    0.358
    28.02     4.47    46.53    28.02     4.47    46.53    0.006
   -17.89     3.97    -2.69   -18.04     4.09    -2.72    0.197
    -5.88    15.73    40.31    -5.14    15.91    40.00    0.822
    18.53   -12.70     2.52    18.28   -12.43     2.36    0.402
    14.12    28.02    15.64    14.38    28.53    15.72    0.584
   -32.04     4.10   -15.95   -31.77     4.12   -16.27    0.413
    -9.90   -25.09   -13.62    -9.79   -25.56   -13.53    0.489
    23.76    -4.79    47.54    23.85    -4.86    47.64    0.153
   -38.70   -13.17   -42.54   -38.53   -13.15   -42.49    0.179
    17.80    -7.55    52.45    17.83    -7.74    52.38    0.209
   -14.23    13.06    20.16   -14.43    12.93    20.17    0.238
    24.91    12.30    50.22    24.56    12.04    49.92    0.532
     5.27    19.37    53.96     5.19    19.65    54.31    0.456
    15.56   -15.52    -4.88    15.62   -15.42    -4.83    0.119
   -11.34   -20.76   -45.31   -11.73   -20.69   -44.91    0.563
     5.00    21.40    -0.76     4.62    21.35    -1.00    0.453
   -37.31   -15.34   -14.02   -37.24   -15.32   -14.05    0.076
    31.68    -6.48    10.22    31.70    -6.28    10.16    0.211
    29.98    -7.57   -18.20    30.38    -7.74   -18.52    0.542
     3.64    20.56     1.33     3.60    20.56     1.32    0.040
   -22.95   -10.26    -5.45   -22.96   -10.28    -5.43    0.030
   -37.90    -6.74   -42.94   -38.19    -6.67   -43.03    0.311
   -44.15    -7.12   -25.30   -44.31    -7.10   -25.35    0.176
    31.66     8.53   -22.31    31.51     8.39   -22.23    0.225
    31.59    18.43     5.49    31.34    18.14     5.48    0.381
     5.45   -15.24   -19.61     5.68   -15.29   -19.86    0.347
    16.25    -9.93     9.97    16.28   -10.08    10.00    0.159
    28.23    -3.00   -21.25    28.35    -2.97   -20.90    0.370
    14.04   -15.75    -2.22    14.23   -15.94    -2.28    0.287
    -4.84   -23.90   -33.82    -4.83   -23.64   -33.80    0.255
   -16.69    16.32    22.86   -16.55    16.54    22.82    0.268
    -4.32     0.18   -26.28    -4.28     0.43   -26.32    0.256
   -37.57   -22.70   -38.65   -37.68   -22.80   -38.73    0.172
   -15.64   -17.27   -49.17   -15.43   -17.26   -49.50    0.399
   -35.91     5.91   -21.69   -36.23     6.24   -21.67    0.460
    -8.74    12.19     3.45    -8.73    12.16     3.45    0.025
    19.70    17.65    46.01    19.87    18.02    46.11    0.414
   -38.46   -13.35   -43.11   -38.37   -13.34   -43.12    0.082
   -30.79    -9.01    -9.56   -30.74    -8.97    -9.28    0.291
    -2.69     0.01   -24.59    -2.36     0.44   -24.70    0.552
    37.80     2.59     2.70    37.13     2.89     2.77    0.734
    33.04     9.35    19.30    32.39     8.93    19.34    0.776
    -0.70   -12.76   -34.81    -0.72   -12.76   -34.81    0.015
   -35.04   -13.57   -48.56   -35.04   -13.44   -48.09    0.481
    -3.45    -9.29    22.28    -3.35    -8.96    22.25    0.346
    10.59    20.32    51.97    10.56    20.24    51.90    0.107
    25.48    11.52    48.21    25.65    11.60    48.28    0.203
    17.24   -15.59    -4.81    17.32   -15.81    -4.83    0.239
   -11.19    10.29    21.33   -11.31    10.03    21.69    0.466
    19.72    18.06    44.56    19.79    18.16    44.54    0.123
    12.99   -10.31   -15.52    13.14   -10.61   -15.82    0.449
    31.15    10.77   -20.63    30.78    10.43   -20.40    0.549
   -40.61    -6.32   -17.89   -40.72    -6.44   -17.48    0.443
     4.42   -19.59   -11.55     4.36   -19.45   -11.58    0.153
   -23.05   -32.00   -35.56   -23.03   -31.51   -35.52    0.491
   -40.58   -20.61   -32.81   -40.75   -20.69   -32.86    0.195
   -41.03   -12.03   -35.38   -40.98   -12.01   -35.35    0.061
    -1.06   -11.39   -37.11    -1.02   -11.41   -37.13    0.040
    10.66    -7.93    55.06    10.64    -8.13    55.28    0.299
    -3.97    -2.28    53.93    -3.89    -2.26    53.93    0.083
    -0.33   -13.53     8.21    -0.33   -13.60     8.21    0.068
    23.04   -11.85    -0.08    23.00   -11.75    -0.11    0.114
   -26.75   -28.16   -41.21   -26.75   -28.25   -41.29    0.121
   -17.55   -30.45   -20.47   -17.47   -30.64   -20.35    0.240
    -5.53   -26.26   -27.99    -5.94   -25.50   -27.87    0.868
    36.49     7.73    -8.26    36.16     7.55    -8.07    0.419
    -6.08     1.37    46.26    -6.36     1.17    46.24    0.338
     3.50    15.40    -2.04     3.54    15.31    -1.99    0.108
    -8.96   -26.17   -19.10    -8.74   -26.27   -19.14    0.253
    -6.49    -9.02    18.23    -6.05    -8.77    18.27    0.501
